제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2017.03.30.|2017.04.2.&section=kin&page=1
중이염인가요??,지금 감기에 걸렸는데 감기 걸리고 하루 뒤부터 귀가 계속 먹먹하고 아파요 만약 중이염이면 치료는 어떤 방식으로 받나요? 방치하면 어케 되요?? 병원 안가고 혼자 낫는 법은 없나요ㅠㅠ  아 그리고 턱 고통이 귀로 느껴진다는말 듣기도 했는데 몇일 전에 옆쪽 턱을 어디에 박아서 하루동안 좀 아팠엇어요 이것도 연관이 있을까요?,"중이염이 의심되는 증상인 것 같습니다. ​중이염의 경우 다음과 같은 치료가 필요합니다:​- 약물 치료: 항생제 등을 처방받아 복용합니다. ​- 수액 치료: 중이나 귀안에 수액을 주입하여 염증을 줄입니다.​- 배양검사: 배설액에서 병원균을 배양, 감염 원인 규명을 위해 검사합니다.​방치할 경우 염증이 악화되거나 귀가 손상될 수 있습니다. ​가급적 빨리 전문의 진료를 받는 것이 좋습니다. ​간단한 증상이라면 다음과 같이 해볼 수 있습니다:​- 해열진통제 복용​- 귀 안막 소독​- 휴식 ​하지만 증상이 지속되거나 악화시에는 반드시 병원 검진을 받아야 합니다.​턱 통증도 중이염과 관련이 있을 가능성이 높습니다. 빨리 치료가 필요합니다. ​​"
콜대원이랑 처방받은 약,병원에서 처방받은 감기약 2시쯤 먹고 5시쯤 콜대원 하나 먹었는데괜찮을까요? 콜대원 보니까 다른감기약이랑 먹지말라고 하는데ㅜㅜ 괜찮겠죠?,저도 전문가는 아니지만 보통 콜대원 같은 약사 처방 없이 받은 약들은 안에 설명서에 같이 복용하면 안되는 약품 성분이 적혀져있어요.한번 확인해보세요.
콜대원이랑 처방받은 약,병원에서 처방받은 감기약 2시쯤 먹고 5시쯤 콜대원 하나 먹었는데괜찮을까요? 콜대원 보니까 다른감기약이랑 먹지말라고 하는데ㅜㅜ 괜찮겠죠?,"약물 복용에 관해서는 의사나 약사의 지시를 따르는 것이 중요합니다. 하지만, 대부분의 경우에는 한 번에 먹은 감기약과 콜드약이 중복되어 심각한 문제를 일으키지는 않을 것입니다. 그러나 일부 감기약과 콜드약은 비슷한 성분을 함유할 수 있으며, 중복 복용할 경우 일부 증상이나 부작용이 심화될 수 있습니다.​만약 두 약을 동시에 복용한 경우에도, 증상이 나타나지 않는다면 일반적으로는 큰 문제가 없을 수 있습니다. 하지만 이러한 경우에도 의사나 약사와 상담하는 것이 좋습니다. 만약 어떤 이유로라도 이러한 상황이 반복된다면, 의료 전문가에게 상세한 상황을 설명하고 조언을 구하는 것이 좋습니다.​답변이 도움이 되셨다면 ""좋아요""를 클릭해 주시고 ""채택"" 부탁드립니다.긴 글 읽어주셔서 감사합니다."
얼굴접촉성피부염 병원 치료 추천(봉명동 접촉성피부염),봉명동 20대중반/남 접촉성피부염얼굴접촉성피부염을 인터넷에서 찾아보니 병원에서도 치료하고 한의원에서도 치료를 하더라고요각각 치료 방법을 알면 어디서 치료받을지 결정할 수 있을 것 같은데.. 각각의 치료 방법 좀 알려주세요~,"안녕하세요, 닥톡-네이버 지식iN 상담한의사 김민상입니다.접촉성피부염<meta http-equiv=""Content-Type"" content=""text/html;charset=UTF-8"">접촉성피부염 질환으로 걱정이 많으시겠습니다.접촉성피부염은 면역기능저하로 발생하는 경우가 많습니다. 평상시에는 나에게 아무런 자극이 되지 않던 것들이나의 면역력이 저하된 상태에는 알러지 물질로 반응하여 몸에 민감하게 표현되는 것입니다.한의학적으로 접촉성 피부염은 체질적 문제, 내장의 건강상태, 잘못된 식이습관, 스트레스, 생활환경 등 어떤 원인에 의해서 우리 몸에 열의 불균형과 피부의 순환장애로 인해 나타나는 증상으로 보고 있기 때문에 근본 원인을 면밀히 파악하는 것이 중요합니다.빠른 초기치료는 치료결과가 좋은 결과로 나타나기에 빠르게 내원하시어 피부상태에 대한 진단 받아보시길 추천드립니다. 한의원에서는 접촉성피부염을 치료하기 위해서 환자 개인별 맞춤 처방인 한약을 처방하고, 동시에 주 1회 정도 약침치료, 미세피부치료, 침치료, 뜸치료, 광선치료, 외용제 도포 등 다양한 치료가 이루어지며 이를 통해 피부에 쌓인 독소물질을 배출하고 기혈순환을 도와 면역체계를 개선하여 접촉성피부염의 증상을 완화시킵니다.피부세포 재생주기를 따라 3개월이면 낡은 세포가 모두 탈락하고 새로운 피부가 재생되어 올라오므로 일반적으로 3개월을 말씀 드리지만 중증의 경우 6개월 이상의 기간이 필요합니다. 면역력이 좋거나 초기 단계라 치료가 단기에 종료되는 경우도 있으나 온라인 상담의 특성상 예측하기 어렵기 때문에 일반적으로만 안내 드리고 있습니다.피부질환의 특성상 발진의 부위와 양상, 개개인의 체질, 과거 병원 치료를 받으면서 사용한 스테로이드제의 종류와 등급에 따라 치료기간은 개인차가 큰 편입니다. 근처 한의원에 내원하셔서 상담 후 치료계획을 세우는 것이 보다 정확할 것으로 생각됩니다. 직접 만나 뵙고 육안으로 확인한 진료가 아니어서 답변이 제한적임을 양해 부탁 드리며, 조금이나마 궁금한 부분이 해소되셨기를 바랍니다. 환자분의 완쾌를 기원합니다."
아내의 강박증(판교 강박증),판교 40대초반/여 강박증아내가 청소와 정리 강박증이 심해서 힘들어합니다저와 아이들은 최대한 도와주고 있지만 상황이 변하지는 않고 도 힘들때가 많구요이게 맞는건지 약을 먹던 심리상담을 하던 치료를 해야하는건지 고민입니다,"안녕하세요, 닥톡-네이버 지식iN 상담한의사 손지웅입니다.아내분의 강박증 어떻게 해야 할지 문의주셨네요.강박증은 강박사고와 강박행동으로 구분해서 접근하며,강박사고만 있는 경우도 있고, 강박사고와 강박행동 모두 가진 경우도 있습니다.강박사고는 의미없는 생각이나 영상이 지속적으로 머리에 파고들어 불안감이나 어떤 행동을 해야만 할 것 같은 충동을 느끼는 것이고강박행동은 특정 행동을 했을 때 강박사고로 인한 불안감과 충동이 해소되는 것을 경험함으로써 그 행동을 반복적으로 수행하는 상태를 말합니다.청소와 정리에 대한 생각이 들어와 불안감을 느끼고 해야만 할 것 같은 충동을 느끼는 것이 강박사고의 시작이며반복적인 청소, 정리를 통해 통해 불안감과 충동이 해소되는 것을 경험하면서이 과정이 고착화 되는 것이 강박행동으로 볼 수 있습니다.미미한 수준의 강박은 보통 사람들의 일상생활에서도 자주 관찰이 됩니다.요일별로 혹은 특정한 날에 특별한 규칙 수행하기,횡단보도나 보도블럭을 걸을 때 규칙 만들기, 선수들이 경기 전 수행하는 루틴도 강박증의 일종으로 볼 수 있습니다.이는 일상이나 정서적으로 문제를 유발하지 않는 미미한 강박이며어느 정도의 청소와 정리도 깔끔한 사람이다로 받아들일 수 있습니다.하지만 그 정도가 과도하여 본인이나 주변 사람으로 하여금 고통이 수반된다면 질환으로 접근하여 치료해야 합니다.지금은 따로 분류가 되었지만 과거에는 불안장애의 범주에 속해있었던 강박증은 두뇌 기능의 불균형을 원인으로 보고 있습니다.불균형한 두뇌가 불필요한 생각이나 충동을 스스로 지워버리거나 이겨낼 수 없게 되면서 강박사고와 행동이 진행되는 것이죠.만성화된 강박은 치료에 많은 노력과 시간이 필요하기 때문에 스스로 극복하기 어렵다면 강박증 한의원이나 병원을 찾아 도움을 받는 것이 좋습니다.한의학에서는 뇌기능의 불균형을 개선하는 방향으로 치료가 진행되고 강박을 스스로 지워버리거나 억제하는 힘을 가지게 합니다."
주사피부염 한의원 치료(영등포 당산동 주사피부염),영등포 당산동 40대중반/여 주사피부염주사피부염 때문에 대학병원까지 갈정도로 느끼는 증상이 심해요. 약 먹고 연고를 발라도 제자리걸음인 것 같아 뭔가 다른 방법을 모색해야 할 것 같습니다. 지인 말로는 한의원에서도 치료가 가능하다고 하던데 어떤 방식으로 치료하는지 알 수 있을까요?,"안녕하세요, 닥톡-네이버 지식iN 상담한의사 서희연입니다.주사피부염에 대해 문의주셔서 성실히 답변드립니다. 재발하는 증상으로 많이 힘드셨을텐데요.주사는 얼굴 중앙부에 만성 충혈성 질환으로 코 주변과 뺨, 턱, 이마와 같은 부위에 주로 발생합니다.주사피부염은 염증 반응과 혈관 확장으로 인한 만성적인 피부질환을 의미하는데요. 간혹 구진과 농포, 부종 등이 관찰되기도 합니다.해당질환의 경우 초기 단계에서는 얼굴에 붉은 홍조가 띄는 증상이 나타나고 자외선, 열, 화학적 자극, 감정 고조, 술 등의 요인으로 인해서 유발됩니다.또한 모세혈과 확장과 모낭의 구진, 고름 등이 얼굴 중앙부에서 나타나며 모공까지 두드러기는 증상을 보입니다.증상이 심해질 경우 안면부 전체로 염증 반응이 나타나며 두피까지 악화될 수 있기 때문에 초기에 개선을 시도하는 것이 중요한데요. 한의원에서는 몸 속 건강을 도모하는 것과 무너진 면역 체계를 되찾아 정상화 시키는 것을 목표로 합니다. 체질적으로 피부가 약한 경우 호전되는 것이 더딜 수 있는데요. 한약 치료를 통해 체질을 개선하고 몸과 피부의 회복력을 높여주면 더욱 빠른 호전이 가능할 것으로 보입니다.한의원에 내원해서는 약침치료, 침치료, 광선치료 등으로 염증을 완화시켜주고 피부 순환을 높여 재생을 유도합니다. 또, 기존에 하고 있는 관리법을 체크하여 잘못된 부분은 보완하고 올바른 관리법을 알려드리고 있습니다.보다 정확한 진단과 치료를 위해 가까운 한의의료기관에 방문하셔서 진료 받으시길 권장드립니다.답변이 도움이 되셨길 바라며, 오늘 좋은 하루 되시길 바랍니다. 감사합니다."
다낭성난소증후군 진단(대구 다낭성난소증후군),"대구 30대초반/여 다낭성난소증후군최근에 생리 불순이 생기고임신도 생각하고 있어서 병원 가서 검사 해봤는데,다낭성난소증후군이라고 하네요.병원에서도 다낭성이면 임신이 힘들수 있다고 하고,집에와서 찾아봐도 안좋은 얘기들이 많아 걱정이 됩니다.주변에서 다낭성으로 생리불순이나 임신 때문에 한방 치료 많이들 받는다고이야기 하던데요한방 치료 받으면 좀 좋아지고 임신도 할수 있을지 궁금합니다.","안녕하세요, 닥톡-네이버 지식iN 상담한의사 정해리입니다.다낭성난소증후군을 진단 받으셨군요. 임신을 생각하고 계셔서 더욱 걱정이 되실 것이라 생각합니다.질문자분처럼 다낭성이나 생리불순이 있으면서 임신을 준비하기 위해 한의원에 내원하시는 환자분들이 많이 계십니다. 다낭성난소증후군은 난소 기능의 문제로, 초음파상 다낭성 난소 형태가 관찰되거나 호르몬의 불균형이 생길 수 있는 질환입니다. 난소에서 배란이 원활하게 이루어지지 않아 무월경이나 부정출혈 등의 생리 불순이 생기고,호르몬의 불균형으로 피부 트러블, 비만, 인슐린 저항성, 고안드로겐혈증(남성호르몬 과다) 등의 대사 이상이 나타나기도 합니다.임신을 위해서는 배란, 수정, 착상이라는 3단계가 꼭 필요한데, 배란은 여성의 난소에서 난자가 만들어져서 배출되는 현상을 말하며 다낭성난소증후군이 있으면 배란이 잘 일어나지 않아 임신이 어려워지게 되는 것입니다. 배란이 되더라도, 난자의 질이 좋지 않거나 호르몬의 불균형으로 인해 임신이 잘 되지 않기도 합니다. 한방에서는, 다낭성난소증후군을 일으키는 근본적인 원인을 진단하고 자궁과 난소의 기능을 정상으로 만들어 주는 치료를 합니다. 난소의 기능을 강화하여 배란 기능을 되찾아 규칙적인 생리를 하게 하고, 임신이 가능해지도록 치료합니다.또 신체의 어떤이상이 호르몬 균형을 깨뜨렸는지 원인을 찾아 바로잡아 주고 몸을 건강하게 만들어줍니다. 다낭성난소증후군이 있으면서 체중의 증가가 있을 경우에는 호르몬의 균형을 맞추어주고 정상체중으로 회복시키며피부트러블, 다모증, 탈모 등의 동반되는 증상들을 개선합니다.한의학은 오랫동안 자궁, 난소의 기능을 보강하여 여성의 생리와 호르몬을 바로 잡는 치료와 연구를 해왔으며 다낭성 난소 증후군을 치료하고 임신에 성공한 많은 사례들이 있기 때문에질문자분에게도 한방 치료가 많은 도움이 될 것입니다.상담이 도움이 되었으면 합니다. 잘맞는 치료로 건강하게 임신에 성공 하시기를 바라겠습니다. 감사합니다."
,,
,,
,,
