제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2020.02.27.|2020.03.01.&section=kin&page=1
자궁 관련 질환,저희 엄마는 52세시고 빈혈이 심하신데 자궁에 문제가 있는 거 같아요. 병원에서 수술을 권했는데 똑같은 수술을 미리하신분이 수술후 돌아가셔서 수술을 안하고 있어요. 폐경은 아직 오지 않았고 치질도 있으신데 혹시 심각한 걸까요?,수술을 미리하신분이 돌아가셔서 안하고 있다이 말이... 수술하고서 죽었다는 말인지 어쩐건지모르겠네요​자궁쪽으로 검사받아보셨는지요??그거는 한번 확인해보셔야해요자궁에 문제가 있을수도 있긴하지만 확실한거는아니잖아요그리고 치질도 있다고 그랬는데 치질도 심하다면피가나서 빈혈이 생길수도 있어요​빈혈이 생기는 원인은 너무 다양하기 때문에어떤거 때문인지 모르니까... 일단은 뭐때문인지확인해보시고 치료받기는 권유드립니다,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7011404&docId=348674231&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=1&search_sort=3&spq=0
존나 못생겼다고 계속,26년 동안 존나 못생겼다고 계속뒷담 당하니까어떤 여자를 봐도감히 내가 대시를 하면얼마나 욕을 하면서 싫어할까생각하는데 이것도정신병일까요?,안녕하세요반갑습니다.그럼요.답변이 도움 되셨으면 감사 포인트로 마음을 전달 해 주세요좋은 하루 되세요^^,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80101&docId=348663546&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=21&search_sort=3&spq=0
존나 못생겼다고 계속,26년 동안 존나 못생겼다고 계속뒷담 당하니까어떤 여자를 봐도감히 내가 대시를 하면얼마나 욕을 하면서 싫어할까생각하는데 이것도정신병일까요?,네 자신감이 너무없으시네요 자존감이굉장히중요하고 멋있어보이는거 아세요?자신감을 가지세요!!!!
존나 못생겼다고 계속,26년 동안 존나 못생겼다고 계속뒷담 당하니까어떤 여자를 봐도감히 내가 대시를 하면얼마나 욕을 하면서 싫어할까생각하는데 이것도정신병일까요?,정신병까지는 아니고 자존감이 낮아지신것같아요 ㅠㅠ 힘내세요 이 세상에 못난 사람은 없답니다~ 님에 대해 함부로 말할 수 있는 사람도 없구요
존나 못생겼다고 계속,26년 동안 존나 못생겼다고 계속뒷담 당하니까어떤 여자를 봐도감히 내가 대시를 하면얼마나 욕을 하면서 싫어할까생각하는데 이것도정신병일까요?,어. 정신병자야. 그러니까 입 닥치고 정신병원 가서 입원해.
목안에 염증인가요?,목안에 침을 삼킬때마다 따갑고 하길래..목안을 봣더니 이렇게 되있네요ㅠㅠ병원을 가야하나요? 어떤병인지 알려주세요,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이세라 입니다.​인후염으로 보입니다. 추가적인 경과 관찰이.필요합니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=348660734&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=22&search_sort=3&spq=0
생식기가 부었어요ㅠㅠ 대처방범 알려주세요ㅠㅠ,생식기의 귀두부분이 부었는데 죽을정도는아닌데 움직일때마다 아파요ㅠㅠ어저께 잠자다가 아파서 깼어요부은거 가라앉히는법 알려주세요 빨리 알려주시면 감사하겠습니다ㅠㅠ,포경을 했나요?포피가 부은건지?귀두가 부은것인지?수건을 물에적셔 가볍게 짜서 냉동실에 10분가량 두었다가 고추를 감싸주는 냉찜질을 서너번 해줘보세요.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70113&docId=348660627&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=23&search_sort=3&spq=0
생식기가 부었어요ㅠㅠ 대처방범 알려주세요ㅠㅠ,생식기의 귀두부분이 부었는데 죽을정도는아닌데 움직일때마다 아파요ㅠㅠ어저께 잠자다가 아파서 깼어요부은거 가라앉히는법 알려주세요 빨리 알려주시면 감사하겠습니다ㅠㅠ,"​어떤 이유인지는 몰라도, 일상생활에 불편함이 느껴지는 정도라면 병원에 가는 것이 맞습니다."
오른쪽 팔과 다리 저림현상,"저희 엄마가 한달 전부터 오른쪽 다리가 당기고 저리다고 말씀하셨는데, 일주일 전부터 오른쪽 팔과 다리가 전체적으로 저리고 쑤시는 느낌이 든다고 하십니다. 지금 코로나랑 관련되어 병원에 가기에는 걱정된다고 하시는데, 저는 너무 걱정이 되네요. 어떤 질환과 관련되는지, 병원에 가야할지 고민됩니다.",측만이 있으면 한쪽이 아파지네요진행이 되면 비대칭이 되기도 하고 풍이 오기도 하네요​시작은 미미하나 나중에는 치명적일수도 있어니 측만부터 고치려 노력하시는게 좋을거에요​도움이 되길바래요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70107&docId=348656482&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=31&search_sort=3&spq=0
제가 평생 나약하게 살까 봐 너무 두렵습니다,"그냥 누구라도 좋으니까 얘기 좀 들어주셨으면 좋겠어요전 이제 고2가 되는 고등학생입니다.태어났을 때부터 전 몸도 마음도 남들보단 약했어요. 때문에 어렸을 때부터 병원도 꽤 자주 들락날락거렸고, 남들보단 더욱 예민한 성격을 가지게 되었습니다항상 저에게는 세상이 좋은 만큼 무서웠고, 살고 싶은 날만큼 죽고 싶은 날도 많았어요.그래도 이 정도면 괜찮은 인생이지, 이 정도면 평범하지스스로에게 일종의 위안 겸 세뇌를 해오기도 했고요나 싫다는 사람만큼 좋다는 사람들도 있었고나보다 공부 잘하는 애들도 많았지만 그렇지 않은 애들도 늘 많았고나보다 예쁜 애들도 정말 많았지만 그렇지 않은 애들도 항상 존재해왔기에제 안의 열등감과 우월감은 그래도 어느 정도 균형이 맞추어져 있었는데요저에게도 중2는 평범한 1년으로 지나가지 않게 되었고왜인지는 정말 모르겠지만 유독 사춘기가 본격적으로 시작되면서부터 전 이유 모를 성격의 변화를 겪게 되었습니다그냥 문득 어느 날 작은 일 하나를 시작으로 제 행동에 대한 최악의 시나리오가 하나하나 떠오르기 시작했어요전혀 걱정하지 않아왔던 일들이 걱정되기 시작하였고그때부터 전, 어떤 행동을 하던간에 늘 최악의 시나리오를 꼭 꼭 따져가며 미리 불안해했어요원래부터 남들보다 더 아프고 더 걱정 많은 성격이라는 선천적인 요인들은 배경이 되었고, 그 위로'걱정하고 불안해하는 버릇'이 덧그려져 저라는 그림이 탄생한 듯저는 무려 4년째 하루하루를 크고작은 걱정들로 채우고 있습니다.물론 그 수백 수천 가지의 걱정 중에 현실로 나타난 걱정들은 1%정도에 지나지 않았고, 이를 정말 수도없이 확인하면서도 전 걱정을 마치 제 숙명이고 운명인 양 짊어지고 삶에 임하고 있어요저도 제 자신이 답답해 미칠 것 같습니다신경성 구토와 설사는 이미 익숙해진 지 오래이고답답한 마음에 밤잠도 꽤 자주 설칩니다꿈에서까지 고민이 나오는 날도 있습니다정신과와 심리상담 또한 몇년째 다니며, 상담치료와 약물치료를 병행중이지만 크게 달라지는 건 없더라고요이젠 그냥 제 자신이 문제인 게 맞는 것 같아요오늘 역시 일어나지 않은 일에 대해 걱정하며 혼자 방에서 울다가 결국 현타가 왔거든요주변에서도 그래요 왜이렇게 자꾸 미래를 걱정하냐고 그렇게 해서 어떻게 세상을 살아가냐고저도 그 답을 모르는데 어떻게 할까요걱정을 하면 하는 대로 걱정이고, 하지 않으면 안 될 것 같은 그 기분을 아시나요종종 행복한 날에도 무의식적으로 '내가 전에 하던 걱정이 뭐였지'하며 걱정에게로 되돌아가는 제가이젠 너무 한심하고또 이런 와중에도 미래를 불안해하며 최악의 시나리오를 작성중인 저를이젠 그만 놓고 어디 멀리 떠나버리고 싶습니다저 좀 도와주시면 안될까요제가 저를 포기할까 무서워요","안녕하세요 24세 남성입니다. 우선 친구분의 이야기 정말 흥미롭게 읽었어요.우선 본론부터 얘기하자면 ""남들과 다를 뿐, 절대 틀린것이 아니다"" 입니다.당신은 ""최악의 시나리오를 쓰며 불행을 그리고 있다"" 라고 '무의식' 적으로 자기 자신을 진짜 불행하게 만들고 있다고 생각해요. 당신이 생각하는 불행은 ""일어 날 수도 있는 일"" 이지만 아직은 일어나지 않은 일입니다. 그럼으로 그것으로 인해 자신을 '진짜' 불행하게 만드는 일은 더이상 하면 안되요.제가 당신의 이야기를 듣고 든 생각은 '이 사람의 머릿속에는 흥미진진한 모험 이야기가 가득하겠구나' 였어요.글쓴이분은 불행하지 않아요. 주변이 글쓴이분을 틀린것이라고 단정하고 심리적으로 위축시키고 있다는 생각을 하셔야 해요. 그들이 당신을 불행하게 만드는 요소가 아닌가요?글쓴이분은 나약하지 않아요. 조심성이 남들보다 많다는 점이 '다를' 뿐인거죠. 당신을 이상하게 보는 그들은 정작 가볍게 던진 말 한마디로 상대방에게 큰 상처를 주는걸요포기하지 말아요. 질문자님지금까지 질문자님이라 부르지 않고, 글쓴이라고 왜 불렀는지 아시나요? 저는 당신의 이야기에 굉장히 몰입했고, 이게 당신의 큰 재능이라 생각했기 때문이에요질문자님은 작가가 될 거라고 생각합니다. 왜냐하면 질문자님에겐 아직 아무에게도 들려주지 않은 이야기와 시나리오들이 아주 많이 남아있는걸요질문자님 천재와 바보는 한끗차이라는 말 알고계신가요? 재차 말하지만 질문자님은 틀리지 않았고 불행할 이유도 없습니다.​그동안 많이 힘드셨겠어요, 힘들게 털어놓은 이야기 잊지못할거에요 정말 잘 들었어요힘내라는 말 고작 두글자로 당신을 위로할 수 없겠지만 그래도 힘 내세요, 당신을 불행하게 만들었던 그 모든 시나리오들은 반드시 행복이 되어 돌아올 것이라고 믿어 의심치 않아요​좋은 밤 보내세요",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70109&docId=348656438&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=32&search_sort=3&spq=0
