제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2019.03.12.|2019.03.16.&section=kin&page=1
안녕하세요 지식인에 많은 분들에게 도움을 주고계시길래 꼭 도움을 요청하려고 글을 적습니다. 단도직입적으로 누나가 위급해요 3월12일 가족과 소고기외식을하고 집으로 와서 (누나는 결혼을하였고 아직 50일안된 아기가 있습니다) 누나와 자형에게 영화를 보러가라 한뒤 제가 아기를 봐준다 했습니다. 그래서 누나는 바로 준비를하던중 갑자기 화장실을 가야겠다 했는데 화장실에서 하혈을 했습니다 누나는 출산한지 얼마지나지않아 하혈을 한줄 알았지만 곧바로 머리가 아픈데 살면서 처음겪어볼정도로 아프다고 계속 하였습니다. 누나는 곧 울면서 괴성을 질렀고 자형과 저는 그자리에서 누나를 흔들고 마사지했지만 누나는 쓰러져서 마비가 왔습니다 그리고 저는 심폐소생술을 했고 자형은 누나의 혀가 말려들어가지않게 혀를잡았습니다 오후 9:24 119구급차가 도착했고 심폐소생술을 마저하다가 구급대원들이 심폐소생술을 해도 깨어나지않자 바로 구급차로 누나를 옮겼습니다 자형은 누나와 함께 구급차를 타고 응급실로 향했습니다 저희집과 큰병원은 30분거리인데 중간에 누나가 심폐소생을 해도 자형 말로는 누나가 심정지상태가 지속되어 감지가 3분정도 안되다가 병원에 도착할때쯤 다시 심장이 뛰기시작했다고합니다. 병원도착 당시 바로 ct를 찍었고 상태는 뇌동맥 파열 지주막하출혈 이었습니다 누나의 상태가 안좋아서 의사선생님은 그자리에서 사망했었을 수도있다고 했고 지금 수술을 할지 아니면 그대로 보낼지 질문을 했습니다 수술을 해도 사망90% 수술을 안하면 100%사망 하는데 수술을 하게되면 엄청난 고통이 환자에게 갈것이라고 했습니다. 우리는 서로를 믿고 누나가 10%의 지푸라기잡는 심정으로 수술을 했으면 한다하여 4시간에 걸쳐 수술이 진행됬습니다. 수술후 의사선생님은 수술전과 똑같다고했고 중환자실로 누나가 옮겨지고 3일반이 지났습니다. 어제 의사선생님의 얘기로는 환자 상태가 안좋고 사망75%본다고 합니다 아직 누나는 혼수상태고 일어나지못합니다 수술후 다음날 엄마가 면회할 당시 누나의 눈에 눈물이 고여있는데 그게 점점 커져서 누나의 눈물을 닦아주라고 간호사에게 얘기했다고합니다.선생님 저는 누나를 꼭 살리고싶습니다 제가 할 수있는 최선이 어떤건지 알려주시면 감사하겠습니다 저는 우리가족5명이 빛나고 있고 아직도 세상에 도움이될 큰 위인이 되리라 믿고있습니다어려움이 있어도 단 0.1% 가능성을 위해서라도 노력한다면 되리라 생각하고 꿈을 이뤄오고있습니다. 제 인생에 있어 누나는 존경의 대상이고 자랑의 대상이었습니다 단한번도 잘해준적 없다가 누나의 아기를 봐준다했는데 갑자기 누나가 아파오면서 쓰러진이후 누나를 살리기위해 수단과 방법을 가리지않고 있습니다. 세상에 단 한사람인 누나를 살리고 싶습니다 정 힘들다는 얘기보다 희망을 주십시요 희망으로 촛불을 켜고싶습니다. 의사선생님들이 부정적인 경우를 봐왔고 많은 좌절들을 경험했지만 세상의 기적을 단 하나라도 없어도 누나는 살거라는 믿음이 있습니다 특별하고 빛나는 우리 누나를 살리기위한 최선을 다하는 저에게 작은 방법이라도 알려주십시요 엄마는 하루에 30분 밖에 안되는 면회지만 간호사에게 부탁에 늦은밤 중환자실에서 누나의 온몸을 주무르고있습니다.누나의 몸을 만지만 표가 모양이 조금씩 달라진다고하네요 도움을 요청합니다 우리의 심장은 살아있고 영혼은 함께하고있습니다.,일산 60대 중반/남 간암요양병원 간암수술 하시고 집에 오셨는데 혼자 계시는게 마음에 걸려서 요양병원 알아보려고 하는데 요양병원 시설이나 어떤걸 알아봐야 할까요?...,"안타까운 사연에 제가 드릴수 있는말은 환자의 의지와 신의 도우심이 생사를 가름할수 있겠다는 말씀밖에 못드리겠네요, 수술후 일주일이 가장 중요할수 있습니다, 눈물만으로는 호전의 가능성을 점칠수가 없으며 의식을 빨리 찾으셔야하고 스스로 호흡을 하실수있다면 그래도 희망을 가지실수 있겠습니다, 물론 휴유증이 남긴하겠지만 아직은 젊은 나이라서 충분히 깨어나실수 있을꺼예요~",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=61002&docId=323362472&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=1&search_sort=3&spq=0
탈모에 좋은거 어떤게있나요?,병원은 꾸준히 다니고 있습니다.안좋은거 하지말라는건 다끊었어요.음식이나 기타 어떤거 하면 좀더 도움이될까요,"일단 음식같은 경우에는,해조류나 견과류 좋은 편이고 콩류도 좋습니다생활습관으로는 두피 자극 주는 마사지도 괜찮고스트레스 안받으시고 수면도 좀 푹 가져가는게 좋구요",https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8030206&docId=323362216&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=2&search_sort=3&spq=0
탈모에 좋은거 어떤게있나요?,병원은 꾸준히 다니고 있습니다.안좋은거 하지말라는건 다끊었어요.음식이나 기타 어떤거 하면 좀더 도움이될까요,검은콩.맥주효모
물리치료의 구성과 절차,물리치료의 팀구성은 어떻게 되나요? 뭐 근골계파트라던지 도수치료 등등 이런식으로요..그리고 물리치료 절차도 알려주세요 ㅜㅜ,"병원에 따라 다르고 병원급에 따라 달라요 보통 대부분의 의원들은 3종세트(통증치료) + 도수치료하는데요. 근골격계 물리치료 파트로 보시면 됩니다.재활병원의 경우 신경계 파트 + 통증치료 + 도수치료(간혹 있음)종합, 상급종합병원의 경우 근골격, 신경계, 소아, 호흡, 수중물리치료 등등의 파트를 갖추고 있으나이것 역시 병원에 따라 다릅니다.물리치료 절차라는 것이 어떤 것을 의미하는지 추가로 질문해주시면 답변드리겠습니다",https://kin.naver.com/qna/detail.naver?d1id=11&dirId=1114&docId=323361828&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=3&search_sort=3&spq=0
제발..도와주세요,자신감과 자존감을 키울수있는 진실된방법을 알려주세요 나자신을 사랑하라는 뻔한 말이 아닌 구체적으로 답변부탁드립니다. 그리고 강박증 해결할수있는 방법 좀 알려주세요,"안녕하세요.저도 자신감, 자존감이 없던 한 여학생이에요.제가 자신감과 자존감을 키웠던 방법을 알려드릴게요.1. 내 단점은 자신감과 자존감을 낮출 수도 있어요.그러니 단점을 극복하는 것도 방법인거 같아요.2. 자신의 장점과 단점을 적어보면 아! 나는 ~를 잘하구나!라고 생각을 하면 자신감과 자존감을 키울 수 있어요. 단점을 극복하기 위해 노력하고 해결방안도 생각해봐요. 해결방안을 모르겠으면 내 단점인 것을 잘하는 지인이있으면 부탁해봐요.저는 음치였는데 노래 잘 부르는 친구 덕에 나아졌어요.3.내 자신에게 질문을 던져요!내가 ~라고 하면 주변 반응은 어떨까?난 ~을 잘하니까 이 부분에선 말해도 좋을까?생각치 않고 말하거나 상대의 의견을 반박하면 상대방은 나의 빈틈을 찾아서 말할거에요. 그런 점에서 말을 할 때 자신감이 떨어질 수 있을거에요. 빈틈없이 말하면 상대방이 집을 곳도 없고 인정할 수도 있겠죠? 그러면 내 자신감은 높아질거고요!4.자기가 부족한 부분,싫은 부분을 긍정적으로 생각해봐요!난 이빨이 못생겼어 하지만 토끼 같아보여!난 체육을 못해 하지만 수학은 잘하잖아!좋은 점만 생각하다보면 자존감이 높아질거에요.강박증은 초기에 치료를 해야해요ㅜㅜ심리상담도 받아보시고 병원에서 약 받아 먹으면 나아지지 않을까 싶어요.질문자님은 가치있으신 분이시니까 자기를 사랑하고 스스로의 능력으로 어떤 일이든 해내실거라 믿어요!응원하겠습니다!",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70109&docId=323361539&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=4&search_sort=3&spq=0
제발..도와주세요,자신감과 자존감을 키울수있는 진실된방법을 알려주세요 나자신을 사랑하라는 뻔한 말이 아닌 구체적으로 답변부탁드립니다. 그리고 강박증 해결할수있는 방법 좀 알려주세요,1.나의 장점들 vs 나의 단점들2. 내가 잘할 수 있는 일들 vs 잘하지 못하는 일들3. 타인이 말하는 '내가 잘하는 것'4. 나를 위한 선물고르기5.나쁜습관과 이별계획 세우기6.자기 자신에게 사과하기7.내가 원하는 거 적어보기자존감수업(윤홍균)읽어보시우다른사람을 기쁘게하거나다른사람을 도와봐요.그럼 될것같은데
중3 남학생입니다. 어굼니와 사랑니가 누워서 났어요. 교정이 가능할까요? 대학병원으로 가라고 하던데 교정 잘 하는 곳 추천해주시고 어떤 절차로 해야 하는지 알려주세요 ^^*,일산 60대 중반/남 간암요양병원 간암수술 하시고 집에 오셨는데 혼자 계시는게 마음에 걸려서 요양병원 알아보려고 하는데 요양병원 시설이나 어떤걸 알아봐야 할까요?...,교정 잘하는 곳은 아무래도 서울대병원,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70201&docId=323360816&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=5&search_sort=3&spq=0
중3 남학생입니다. 어굼니와 사랑니가 누워서 났어요. 교정이 가능할까요? 대학병원으로 가라고 하던데 교정 잘 하는 곳 추천해주시고 어떤 절차로 해야 하는지 알려주세요 ^^*,일산 60대 중반/남 간암요양병원 간암수술 하시고 집에 오셨는데 혼자 계시는게 마음에 걸려서 요양병원 알아보려고 하는데 요양병원 시설이나 어떤걸 알아봐야 할까요?...,어려운 교정이네요. 치과대학병원에 가셔서 검사와 상담 받으세요.
아버지 건강때문에 그럽니다.,아버지 건강때문에 질문합니다.아버지께서는 20년 이상 담배를 펴왔고 아버지 나이가 49세이고 건강이 걱정됩니다.이빨은 누렇고 많이 손상되었고 병원가서 검진받는다고하는데 못믿겠습니다.사업을 하셔서 스트레스때문이라도 담배를 피시는데너무 불안합니다.금연도 해보고 전자담배도 사서 쓰시고 그러셨는데포기한듯 싶습니다.금연방법과 스트레스 해소법등 알려주세요아버지가 오래사셨으면 좋겠습니다,"현재의 그런 증상은 정신장애인, 신경증(노이로제)의 증상중, 신경증의 증상에 해당하는 증상입니다.이런 정신장애에 처방이 되는 약은, 모두가 향정신성 의약품들이고 마약에 가까운 약이기에, 장기 복용을 하면 중독의 위험성과 후유증이 발생 하기도 하고 치료에 도움은  되지만 완치가 되지 않기애, 복용을 하지 말아야 하고, 적극적으로 정신치료를 받아야 만, 완치가 된다는 사실을, 이해 하셔야 할 것입니다.이런 증상은 임상심리전문가로 부터 종합심리진단검사 M.M.Q(mandsel medical questionnaire),H.T.P(house tree person), Bender Gestalat , Sentence Completion, M.M.P.I(minnesota multiphasic personality inventory), Rorschach, T.A.T(themat apperction test), 등의 검사를 받아서, 증상의 종류와 상태를 자세하개 파악을 하셔야  하고, 치료를 하면 어떤 방법이 좋은지를 확인을  하시고, 치료하면 기간은 얼마나 걸릴지를 확인을 해서, 치료에 임 해야 좋은 결과를 얻을 수 있을 것입니다.정신과전문의나 임상심리전문가로 부터 적극적으로 정신치료를 받아야 만, 완치가 될 것이고, 처방 해 주는 약을 복용하여, 치료를 해야 겠다는, 마음을 접어야 할 것입니다.왜냐하면 이런 약 모두는 , 향정신성 의약픔들이고, 장기 복용을 히면 중독의 위험성과 후유증이 나타나기도 하고, 치료에 도움은 되지만 완치가 되지 않기에, 복용을 하지 말아야 하고, 적극적으로 정신치료를 받아야 만, 완치가 된다는 사실을, 이해 하셔야 하기 때문입니다.필자의 브로그를 방문 하셔서, "" 신경증 "" 이란 글을 출력 하셔서, 참고 하시면, 좋은 결과를, 얻을 수 있을 것입니다.참고 하셔서 좋은 결과, 얻기를 기원 드립니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70109&docId=323359562&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=6&search_sort=3&spq=0
아버지 건강때문에 그럽니다.,아버지 건강때문에 질문합니다.아버지께서는 20년 이상 담배를 펴왔고 아버지 나이가 49세이고 건강이 걱정됩니다.이빨은 누렇고 많이 손상되었고 병원가서 검진받는다고하는데 못믿겠습니다.사업을 하셔서 스트레스때문이라도 담배를 피시는데너무 불안합니다.금연도 해보고 전자담배도 사서 쓰시고 그러셨는데포기한듯 싶습니다.금연방법과 스트레스 해소법등 알려주세요아버지가 오래사셨으면 좋겠습니다,"일단 무작정 못 피게 하면 더 스트레스 받으실 것 같습니다.아버지께서 스트레스 해소 방법으로 흡연을 택하셨으니 쉽게 끊지는 못 하시겠지만피는 횟수를 줄이는 것이 더 좋을 것 같습니다.만약 스스로 금연이 어렵다면 가까운 보건소에 있는 금연 클리닉에 가시면 병원과 연계해서 챔픽스 같은 약도 받을 수 있고 간단한 금연 보조제도 얻을 수 있을 거에요.또 금연은 시도한다고 하더라도 금단증상이 강하고 평소보다 많이 먹게 되어서 살이 찔 수도 있습니다.그 점을 생각해서 다이어트도 병행하는 게 좋습니다.당장 스트레스를 없애는 것도, 금연하는 것도 정말 어려운 일이지요.하지만 작성자님이 진심어린 도움과 아버지께서 노력을 더하면 조금이라도 진전이 있으리라 봅니다.어떤 방법을 제시하든 본인의 의지가 중요합니다. 옆에서 금연을 응원해주세요.담배를 물지 않아도 괜찮도록 옆에서 담배로 채우던 공허한 마음을 응원하면서 위로해주세요.늘 건강하시고 좋은일 생기시길 바랍니다!"
