제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2020.03.07.|2020.03.11.&section=kin&page=1
사진속 얼굴에 볼록하게 올라온거 이것도 여드름 종류로 봐야하나요? 빨리 없애고 싶네요 ㅠㅠ 도와주세요 !,이번이 처음이 아니라 가끔 사진속에 잘은 안보이지만 볼록하게 여드름처럼 올라오는데 만져보면 엄청 딱딱하고 그런건 아니고 어쨌든 뭐가 올라왔으니 약간 딱딱하면서 만지면 아픈것도 없고 붉게 보이는것도 없고 그런데 이런것도 여드름 종류로 봐야하나요?여드름이고 아니고 떠나서 지금 이게 생긴지 3주정도 됐고 병원도 두곳갔다와서 병원약 먹은지는 거의 2주정도 됐는데 줄어들 생각을 안하네요. 2번째 방문한 병원에서는 염증주사라는거 맞을생각으로 갔었는데 염증주사 맞기는 애매하다는 식으로 이야기하고 염증주사도 아무때나 잘못맞으면 오히려 흉생기고 그런다고 그러면서 거기서도 1번째 병원이랑 비슷하게 항생제같은 약이랑 바르는 약정도 처방해줬는데 나아질 기미가 안보이네요. 그냥 차라리 더 커져서 세수하다 자연스럽게 터졌으면 좋겠는데 그것도 진행이 안되네요. 이전에도 가끔 이런게 올라오면 엄청오래간 기억이 있었는데 스트레스입니다.혹시 병원에서 술을 먹지말라고 했던것같은데 그래도 제가 일주일에 1~2번은 술을 마시는데 그것때문에 나아질 기미가 안보이는 걸까요? 그래도 먹는약 바르는약 먹으면 조금은 좋아져야 하지 않을까요? 거의 3주가 되가는데..혹시 아시는분 말씀좀 부탁드립니다. 빨리 없애고 싶네요 ㅠㅠ,"올려주신 사진의 피부질환은 모낭염 입니다.                  (모낭염 대표사진)​모낭에서 시작되는 세균 감염에 의한 염증으로 모낭염의 가장 큰 원인균은 황색포도알균입니다. 항생제를 장기간 사용한 여드름 환자의 경우에는 그람음성균이 원인이 되기도 하며, 뜨거운 욕조에서 목욕한 후에는 녹농균이 원인균이 되기도 합니다.​모낭염은 부위와 원인에 따라 차이를 보이게 되는데, 주로 전신 증상이 없으며 털이 있는 두피나 팔다리에 주로 발생하지만, 어느부위에서도 발생가능합니다. 균이 침입한 부위는 가렵고 통증이 있으며, 좁쌀같이 노랗게 곪은 형태로 나타나게 됩니다. 모낭을 중심으로 하여 붉은 반점이 생기면서 작은 구진 또는 농포가 생기게 되면 털을 중심으로 단단하고 통증이 심한 홍색 결절이 나타나기도 합니다. 심할 경우, 국소 림프절이 붓기도 하며 발열, 오한 등 전신 증상이 발생할 수도 있습니다. 적당한 치료를 하게 되면 흉터를 남기지 않고 치료가 되지만, 균이 깊숙히 침입한 경우에는 흉터가 생기기도 하고 탈모가 되기도 합니다. ​모낭염의 원인에 대한 규명을 말씀드리면 몸에 열이 많거나 독이 있어서 나타나는 것 그리고 심부 온도나 체온조절 기능의 저하로 인하여 발병된다고 글을 올려주시는 분이 계시는 데 사실 정확하지 않습니다. Nature Scientific paper와 과학 사이언스 저널에 발표된 바와 같이 가장 큰 이유 중에 하나는 바로 장내 면역력 감소입니다. 장내 면역력이 떨어지면 장 점막이 손상되는 현상이 발생합니다. 그리하여 혈액으로부터 독소가 유입되면서 피부에 염증이 생기고 그것이 바로 모낭염으로 발생하게 하는 것입니다. 이것은 즉, 장과 피부 그리고 뇌는 삼각관계를 이루고 있어 장이 안 좋을 때, 피부와 뇌에 nagative 영향을 줍니다.​생활 속에서의 모낭염 치료와 예방법은▷ 면도한 후 상처가 난 부위를 방치할 경우 세균 침입이 쉽기 때문에 항생제 연고를 바르고 손을 대지 않도록 해야 합니다. 제대로 소독을 하지 않고 손으로 농포를 짜거나 터트리거나 병변을 자주 만지게 되면 세균 감염을 더 악화시킬 수 있습니다. ▷ 당뇨가 있을 경우 혈당조절, 비만인 경우 체중조절, 위생상태를 잘 유지하도록 노력해야 합니다. ★ 강력한 유산균의 복용으로 장내 면역력을 케어해줌으로써 모낭염의 균인 황색포도알균의 증식을 억제하고 염증을 가라앉히기 때문에 깨끗하고 확실한 치료법이라 할 수 있습니다. (강력한 유산균에 대한 정보는 네임카드를 클릭하시기 바랍니다.)​강력한 유산균은 IgE 항체를 낮추고 IgA 항체를 높임으로써 장내 면역균형을 잡아주어 모낭염뿐만 아니라 아토피, 알레르기성피부염, 습진, 한포진, 여드름, 두드러기, 지루성피부염, 지루성두피염, 대상포진, 모공각화증, 피부묘기증, 안면홍조 등 다양한 면역성 피부질환을 치료할 뿐만 아니라 설사, 복통, 소화불량, 변비, 구토, 장염, 과민성대장증후군 등 다양한 장 질환과 천식, 비염 등을 치료하고 예방해줍니다.(자세한 정보는 네임카드를 클릭하시기 바랍니다.)​모낭염을 포함한 다양한 면역성 피부질환이 실제 치료되는 사례입니다.          (더 많은 자료는 밑에 지식인 카드를 클릭하시기 바랍니다.)​모낭염은 대표적인 면역성 피부질환이기 때문에 반드시 장내 면역력을 케어해주시는 것이 치료와 예방을 동시에 챙길 수 있는 자연친화적인 치료방법입니다.​마지막으로 모낭염은 무엇보다 청결이 제일 중요합니다. 매일 두세 번 반드시 체온보다 뜨거운 물을 사용하여 피지가 녹기를 기다린 다음 향기나 자극이 없는 비누로 꼼꼼하게 세안해 주세요. 세안 후 유성 화장품의 사용을 삼가고 수축성 로션을 바르는 것이 좋습니다. 머리도 자주 감고 머리카락이 이마에 닿지 않도록 합니다.​답변이 도움이 되셨다면 ""좋아요""를 클릭해주시고 ""채택"" 부탁드립니다. 도움이 안 되셨을 경우에는 따로 1:1질문을 통해서 질문 남겨주시면 더 자세하게 설명해드리겠습니다. 감사합니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70111&docId=349630987&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=21&search_sort=3&spq=0
발톱발취는 어느병원으로?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",외과 병원으로 입니다,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=710&docId=349628158&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=22&search_sort=3&spq=0
엉덩이에 뭔가 동그랗게 잡힙니다.,처음에 엉덩이에 뭔가 부풀어 오르고 아프다가 어느 순간 터지면서 피고름이 나오더군요.. 그래서 다음날 병원가서 고름 다 짜내고 끝난줄 알았는데 그 뒤로 고름이 생겼던 부위에 동그랗게 뭔가 잡힙니다. 뭔가 꾹 잡아도 별로 아프진 않고 시간 지나면 괜찮을거 같아서 방치했는데 이게 2달이란 시간이 지나도 그대로네요? 이거 주위에서 고름 주머니라고 째는 수술 해야한다는 얘기도 나오는데.. 어떻게 생각 하시나요?,사진은 없지만 피지낭종으로 보입니다.고름주머니 짜는것만으로는 안되고 째서 뿌리까지 뽑아야하는 경우가 있습니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=349626006&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=23&search_sort=3&spq=0
오른쪽 턱근육이 아파요..,안녕하세요 25세 남성입니다. 일주일 전 부터 오른쪽 턱근육(음식을 씹을 때 사용하는 근육)이자다가 종아리에 쥐난 느낌처럼 아픕니다.가만히 있으면 괜찮은데입을 앙 다물면 불편하고 음식을 씹을 때 너무 아파서 음식도 제대로 씹을 수가 없습니다.며칠 전 정형외과에서 엑스레이 찍고 진단 받았는데턱 관절에는 이상이 없고 근육이 문제인 것 같다고 3일치 약을 처방 받았는데약을 다 먹고도 나아지질 않습니다.오른쪽 턱근육이 아플 이유가 생각나지 않습니다.충격이 온 것도 아니고 치아가 이상한것도 아니고아무런 증상이 없다가 갑자기 하루아침에 통증이 생겼습니다.저는 어떻게 치료를 하고 어느 병원에서 진료를 받아야 할까요..?도움 부탁드립니다.(제가 사는 지역엔 구강내과는 없습니다.),껌이나 오징어 같은 질기고 단단한 것을 씹으면 생기는 것으로 하악관절 문제로 얼음을 자주 대주고 가까운 재활의학과에 가셔서 초음파치료 등을 받으시면 됩니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70120&docId=349625756&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=24&search_sort=3&spq=0
여드름 해결법,19살이구 계속 저렇게 볼이랑 턱 쪽에 여드름이 나는데 생리주기가 아니여도 나는거 같고 요즘 밖에도 안나가서 화장은 일절 안하고 있기때문에 화장 문제는 아닌거 같은데병원 말곤 답이 없나요?특히 저 볼 쪽에 나는 저 여드름이 올해 초? 부터 난거 같은데나아질 기미가 안보여요 안없어집니다 ㅠㅠ  막 간지럽다거나 아프다거나 하진 않구요밀가루나 군것질 같은거 줄여보면 나아질까요 ㅠ,한의원을 방문해서 진단을 받고 주기적으로 한방시술을 이용하시는게 좋습니다.,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8030102&docId=349625476&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=25&search_sort=3&spq=0
여드름 해결법,19살이구 계속 저렇게 볼이랑 턱 쪽에 여드름이 나는데 생리주기가 아니여도 나는거 같고 요즘 밖에도 안나가서 화장은 일절 안하고 있기때문에 화장 문제는 아닌거 같은데병원 말곤 답이 없나요?특히 저 볼 쪽에 나는 저 여드름이 올해 초? 부터 난거 같은데나아질 기미가 안보여요 안없어집니다 ㅠㅠ  막 간지럽다거나 아프다거나 하진 않구요밀가루나 군것질 같은거 줄여보면 나아질까요 ㅠ,유수분 발란스 깨져서 좁쌀여드름이엄청 올라왔네요​홈케어를꾸준히 해주어야 해요. 제품을 바꾸시든추가를 하시든 하셔서 피부 장벽도 강화를시켜주는게 좋아요​우선 약산성 세안제로 거품을 충분히 내어거품을 이용해 구석구석 자극 없이 씻어줍니다항균 효과가 있는 스킨이나 아주 순한 스킨으로솜을 사용하지 말고 손에 덜어서 흡수 시켜주고나인스킨랩 앰플을 한 스포이드 사용해 얼굴에도포해줘요. 그리고 유분기 없는 수분크림을발라 줍니다. 혹시나 건조하다면 얇게 두 번바르는걸 추천 드릴게요.​추천드린 나인스킨랩 앰플은 수분 진정 재생에효과가 좋은 앰플이어서 트러블에 아주 효과적이에요. 화해에 검색 해보시면 올 그린 등급으로나옵니다 괜히 추천 드리는게 아니에요​단독으로 사용하기 보다는 수분 크림과 사용을하여야 훨씬 효과를 볼 수 있어요.​그리고 충분히 얼굴에 열감을 내려줘야 하는데수시로 모델링 팩을 해주세요. 모델링 팩이 가장자극이 적고 열감 내리는데는 최고에요​비싼거든 저렴한거든 효과는 비슷합니다저렴한거 사세요 괜찮아요​사용법은 알로에 젤이 있다면 도톰하게 올리고어느정도 흡수가 되면 모델링팩을 개어서 올려요아니면 추천드린 나인스킨랩 앰플을 두 번 정도레이어링해서 모델링 팩을 올려도 효과 좋아요​여드름은 오랜기간 꾸준한 관리가 굉장히 중요해요꼭 피부가 좋아지시길 바라구요 집에서 짜지 마세요흉지면 나중에 여드름이 없어진다고 해도 흉터로 더 고생 합니다.​​탄수화물 이랑 설탕 줄이시구요우유는 끊으세요 물은 정말 많이 드시구요​도움이 되었다면 채택 부탁드려요.
여드름 해결법,19살이구 계속 저렇게 볼이랑 턱 쪽에 여드름이 나는데 생리주기가 아니여도 나는거 같고 요즘 밖에도 안나가서 화장은 일절 안하고 있기때문에 화장 문제는 아닌거 같은데병원 말곤 답이 없나요?특히 저 볼 쪽에 나는 저 여드름이 올해 초? 부터 난거 같은데나아질 기미가 안보여요 안없어집니다 ㅠㅠ  막 간지럽다거나 아프다거나 하진 않구요밀가루나 군것질 같은거 줄여보면 나아질까요 ㅠ,"여드름을 없애는 방법은 다양하게 존재합니다만 확실한 효과를 보시기 위해서는 근본적인 원인을 아시는 것이 중요합니다. 여드름은 함부로 짜면 안 됩니다. 잘못해서 흉터로 남을 수 있기 때문이죠. ​여드름은 얼굴, 목, 가슴, 등, 어깨 등에 막힌 털구멍(개방 면포와 폐쇄 면포), 뾰루지, 깊은 종기(낭종 또는 결절) 등이 발생하는 염증성 피부질환입니다. 여드름은 대개 10대 초반에 발생하나, 20대 전후에 증상이 심해질 수도 있으며, 30대와 40대 성인에게도 발생할 수 있습니다. 일반적으로 치료를 하지 않아도 여드름은 보통 수년 후에 없어지지만, 염증성 여드름의 경우 치료하지 않을 경우 영구적인 흉터를 남길 수가 있습니다.​대부분은 여드름 하면 치료를 생각하는 분들이 많습니다. 하지만 압출, 레이저, 주사 치료와 더불어 여드름 약의 복용, 여드름 패치 등은 확실한 여드름을 치료하지 못합니다. 그것은 즉 겉표면만 치료하기 때문이죠. 여드름은 근본적인 원인을 알고 그 원인에 대한 자연적인 치료법으로 접근하는 것이 여드름을 깨끗하게 치료하고 예방하며 흉터를 남기지 않습니다.​보통은 10대들의 경우에는 호르몬의 불균형과 환경적인 요인 등을 영향을 미치긴 합니다만 성인을 포함하여 장내 면역력이 저하가 여드름의 근본적인 원인이 됩니다.​여드름을 치료하기 위한 생활습관과 케어 방법은 다음과 같습니다.▷ 스트레스나 과로 , 흡연 및 음주를 피하는 것이 좋으며 너무 강하고 잦은 세안은 피하는 것이 좋습니다. 여드름이 생겼을 경우 손을 이용하여 함부로 짜는 것은 여드름 염증을 유발 흉터를 남길 수 있으므로 피하는 것이 좋습니다. ▷ 고혈당 지수 식품은 여드름을 악화시키는 남성 호르몬을 증가시키는 연구결과가 있습니다. 따라서 고혈당 지수 식품은 되도록 피하며 대신 가공이나 도정이 덜 된 거친 곡류, 채소와 해조류, 식이섬유가 풍부한 저혈당지수 식품을 먹는 것이 좋습니다. ▷ 화장품이 피부에 닿아있는 시간을 줄이는 것이 좋으며, 화장을 했을 경우에는 세안 시 깨끗하게 지우는 것이 좋습니다. 자외선 차단제에 의해 여드름이 심해지는 경우도 있으므로 자외선 차단제를 발랐을 경우 세안에 더 신경 써주시는 것이 좋습니다. ★ 강력한 유산균의 복용으로 장내 면역력을 케어해줌으로써 여드름의 균인 Propionibacterium acnes의 증식을 억제하고 염증을 가라앉히기 때문에 깨끗하고 확실한 치료법이라 할 수 있습니다.(강력한 유산균에 대한 정보는 네임카드를 클릭하시기 바랍니다.)​강력한 유산균은 IgE 항체를 낮추고 IgA 항체를 높임으로써 장내 면역균형을 잡아주어 여드름뿐만 아니라 아토피, 알레르기성피부염, 습진, 한포진, 모낭염, 두드러기, 지루성피부염, 지루성두피염, 대상포진, 모공각화증, 피부묘기증, 안면홍조 등 다양한 면역성 피부질환을 치료할 뿐만 아니라 설사, 복통, 소화불량, 변비, 구토, 장염, 과민성대장증후군 등 다양한 장 질환과 천식, 비염 등을 치료하고 예방해줍니다.(자세한 정보는 네임카드를 클릭하시기 바랍니다.)​여드름을 포함하여 다양한 면역성 피부질환이 실제 치료되는 사례입니다.          (더 많은 자료는 밑에 지식인 카드를 클릭하시기 바랍니다.)​여드름은 대표적인 면역성 피부질환이기 때문에 반드시 장내 면역력을 케어해주시는 것이 치료와 예방을 동시에 챙길 수 있는 자연친화적인 치료방법입니다.​마지막으로 여드름은 무엇보다 청결이 제일 중요합니다. 매일 두세 번 반드시 체온보다 뜨거운 물을 사용하여 피지가 녹기를 기다린 다음 향기나 자극이 없는 비누로 꼼꼼하게 세안해 주세요. 세안 후 유성 화장품의 사용을 삼가고 수축성 로션을 바르는 것이 좋습니다. 머리도 자주 감고 머리카락이 이마에 닿지 않도록 합니다.​답변이 도움이 되셨다면 ""좋아요""를 클릭해주시고 ""채택"" 부탁드립니다. 도움이 안 되셨을 경우에는 따로 1:1질문을 통해서 질문 남겨주시면 더 자세하게 설명해드리겠습니다. 감사합니다."
여드름 해결법,19살이구 계속 저렇게 볼이랑 턱 쪽에 여드름이 나는데 생리주기가 아니여도 나는거 같고 요즘 밖에도 안나가서 화장은 일절 안하고 있기때문에 화장 문제는 아닌거 같은데병원 말곤 답이 없나요?특히 저 볼 쪽에 나는 저 여드름이 올해 초? 부터 난거 같은데나아질 기미가 안보여요 안없어집니다 ㅠㅠ  막 간지럽다거나 아프다거나 하진 않구요밀가루나 군것질 같은거 줄여보면 나아질까요 ㅠ,"집에서 쉽고 빠르게 피부 좋아지는 방법 알려드릴게요.​먼저 여드름은 원인을 제거하시면 충분합니다.식습관, 생활습관, 안좋은 화장품 등 다양한 원인이 있을 수 있습니다.같이 원인을 분석하고, 피부 고민을 해결할 수 있도록 도와드릴게요.​여드름 피부 트러블의 원인은 다양한데 식습관, 생활습관, 수분 섭취가 가장 큰 원인이고그 밖에도 유전, 환경적 요인, 스트레스가 있습니다.​또 장이 안좋거나 더부룩하거나 설사를 자주해도 피부 트러블, 여드름이 많이 생기죠.저도 어릴때부터 여드름이 많이 있었고 화농성, 좁쌀, 흉터, 색소침착 등 많은 트러블로 인해 너무 힘들었습니다.​제 피부를 고치기 위해 공부했습니다. 지금은 많은 분들께 이 경험과 노하우를 알려드리기 위해 오픈카톡방을 만들었습니다.https://open.kakao.com/o/sb46aGtb 집에서 쉽게 따라할 수 있습니다. 도와드릴게요. (무료)​https://blog.naver.com/ds2mvg/221454764787 집에서 쉽게 따라할 수 있는 관리방법이에요."
여드름 해결법,19살이구 계속 저렇게 볼이랑 턱 쪽에 여드름이 나는데 생리주기가 아니여도 나는거 같고 요즘 밖에도 안나가서 화장은 일절 안하고 있기때문에 화장 문제는 아닌거 같은데병원 말곤 답이 없나요?특히 저 볼 쪽에 나는 저 여드름이 올해 초? 부터 난거 같은데나아질 기미가 안보여요 안없어집니다 ㅠㅠ  막 간지럽다거나 아프다거나 하진 않구요밀가루나 군것질 같은거 줄여보면 나아질까요 ㅠ,"병원이나 피부과만이 답이라고 생각하시는 사람들이 많습니다.하지만 저의 경우에는 아래와 오히려 아래와 같은 부작용으로 고생만 잔뜩 했었죠.저는 피부과 시술 후 흉터, 색소침착, 홍조, 모낭염으로 4년 넘게 고통받았습니다.​여드름, 모낭염, 흉터, 색소침착, 모공을 안전하게 완치/관리하려면 사람의 인체에 최적인 순도 높은 약산성으로 천연 보습막 형성 + 재생/각질관리를 통한 새로운 세포/피부의 재생 + 올바른 식생활 습관을 병행하는 것이 정확히 완치하시는 방법입니다.함께 원인을 분석하고, 피부고민을 해결할 수 있도록 도와드리겠습니다!​저 같은 경우 피부가 안 좋아진 후에 피부 강의를 듣고 공부를 하다보니 집에서도 쉽고 간단하게여드름, 모낭염, 흉터, 색소침착, 모공을효과적으로 치료하는 방법을 알아냈고,많은 분들을 도와드리고 있습니다.​안전하면서도 효과적이고 완치가능한 방법으로 피부고민 하지않게 해드리겠습니다.​아래는 문제성 피부 관리에 올바른 제품 고르는 방법(저의 경험) 입니다.https://blog.naver.com/gmldbs299/221675618224​도움이 필요하시면 카톡 or 오픈카톡 주세요 :) (상담은 무료)오픈카톡 : https://open.kakao.com/o/sT2LnjHb카톡 : gmldbs200"
역류성 식도염 물,목이 따끔따끔해서 목캔디를 최근에 좀 먹었었는데 검색해보니 목캔디는 더 악화시킨다고 하더라구요 그래서 물을 좀 마시려고 하는데 따뜻한 물과 차가운 물 중 어느게 더 도움이 되나요?그리고 소금물 가글도 식도염에 많이 안좋나요? 답변 부탁드립니다 ㅠ.ㅠ,소금물 가글은 목에 좋은 치료제예요 간수빠진 천일염에 끓인물을 부은뒤에 찬물을 부어 따뜻하게 만들어 해주면 되네요 ​병원에서는 찬물을 먹어라  하는데 아니예요목이 아픈 사람은 감기증상도 있을수 있은대 따뜻한 물을 마셔야 체온이 떨어지 않게 되네요 ​식도염으로 목이 아픈 사람은 식도염을 고쳐야 해요 위산이 올라오면 식도가 또 상하기 때문이예요 ​식도염은 몸살림운동의 등방석 공명튀우기로 몸을펴고몸을 굽게하는 핸드폰을 줄이고 컴할땐 모니터를 높여 고개들고 화면을 보면 도움이 되네요  ​운동법은 내유투브에서 찾으면 되네요 건강에 보탬이 되길 바래요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70102&docId=349624853&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=26&search_sort=3&spq=0
