제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.04.12.|2018.04.16.&section=kin&page=1
입안에 염증이생겻어요. 일주일정도 되어가는데 밥을먹거나 물을마실때에 점점 더 아픈거같아요ㅜㅜ약국에서 약을 처방받아서 발라야하나요??아니면 어느 병원에가서 진료를받아야하나요??ㅜㅜ,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","사진상으로 보면 잇몸 염증입니다. 병원 갈 정도는 아니구요. 이빨을 닦다가 칫솔모의 강한 자극으로도 생길 수도 있고 몸 상태가 안 좋을 때 세균 감염에 의해 생길 수도 있습니다.며칠 간 잘 쉬시고 관리 잘 하시면 괜찮아 질 것으로 보입니다.잇몸 염증은 혀밑. 뺨쪽, 입천정, 잇몸 등 입안 어느 곳이나 발생할 수 있습니다.며칠 지나면 호전되기 때문에 그런가보다 하면서 그냥 지나치는 경우가 많습니다만, 이것은 더 큰 질환인 잇몸 및 치주질환으로 연결되는 신호이기에 신중한 관리가 필요합니다..왜냐하면, 잇몸 및 구강질환은 수 십년간 소리 없이 진행되어 오다가 몸의 면역력이 떨어지는 환경(과로, 스트레스, 환절기 등)에 이르러 신호를 보내기 때문입니다. 사진처럼 구내염이나 설염등이 생기고 낫고를 반복하며, 양치할 때 피가 나거나 욱씬거리거나 붓다가 또 괜찮아 지기를 반복합니다만, 우리는 무시하고 살고 있는거죠. 이러다가 어느 한 순간 치은염. 치주염(풍치)로 인한 통증을 자각하는 순간 이미 50프로 이상 병증은 진행된 상태인 경우가 많습니다.잇몸 염증은 한번 생겼을 때 급하게 대처하기보다는 평소에 관리를 잘하셔야 합니다. 소금물 가글 자주 하시고요. 화학적 성분이 강한 가글액이나 저가 치약보다는 천연성분이 함유된 기능성 치약 사용을권합니다. 치약이 정말 중요합니다. 파인프라 치약 검색하셔서 홈페이지 들어가시면 구강관련 정보나 후기들을 보실 수 있는데요,시간 내서 쭉 읽어보시면 올바른 구강관리 방법에 대한 도움을 받으실 수 있을 것입니다. 부디 관리 잘하셔셔 건강한 잇몸 유지하시길 바랍니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70122&docId=299505212&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=1&search_sort=3&spq=0
입안에 염증이생겻어요. 일주일정도 되어가는데 밥을먹거나 물을마실때에 점점 더 아픈거같아요ㅜㅜ약국에서 약을 처방받아서 발라야하나요??아니면 어느 병원에가서 진료를받아야하나요??ㅜㅜ,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",약국에서 알보칠 사서 바르세요. 사람마다 다르겠지만 저는 알보칠 바르면 효과직빵이더라구요.
6학년 국어 면담하기.,"저희 모둠은 유트버를 면담하고 싶다고 했는데,이 중 어느 유트버가 가장 성공률이 높나요?또 할 수 있을까요?1. 보겸TV ( 꿈이 참 크죠?...)2. 츄팝 ( 에휴...)3. 공대생 ( ... 찌리릿 )하하핫 제가 꿈이 좀 크죠...그래도 뭐라고 하지 마세요.저도 권리가 있으니 신고합니다.","음 별로 성공률이 전혀 없어보여요,, 그분들이 면담할거라고 하면 네 알겠습니다 하고 받아주시겠나요 모르는 애가 찾아오는데.. 그냥 병원가서 의사나 아님 빠리바게트 같은 식당 가서 면담하고오세요",https://kin.naver.com/qna/detail.naver?d1id=11&dirId=110207&docId=299504264&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=2&search_sort=3&spq=0
아버지께서 모임회식후 눈을심하게다치셨습니다어느누가봐도 폭행의 상처인데어떤정황인지 누가그랬는지 말씀하지않으십니다병원진료는 받은상태인데 의사도 오래갈것같다하는데..추후 시력저하 실명같은게 있을까봐 걱정입니다이상황을 어떻게 해결해야할지..당사자가 함구하고있어 어찌해야할지모르겠어요ㅠ 법도잘모르고ㅠ전문가님의 조언부탁드려요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",1. 경찰에 도움을 받아 보시길 바랍니다. 만약 폭행으로 인한 피해라면 상해가 발생한 상황이라서본인이 아니어도 경찰에 알리어 도움 요청을 할 수가 있습니다. 경찰이 개입을 하면 아버님께서도말씀을 하시지 않으실까 합니다. 모쪼록 해결 잘 되시길 바랍니다. (채택은 매너입니다.),https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060203&docId=299500743&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=3&search_sort=3&spq=0
무릎 통증 질문입니다..,저는 군대에서 달리기.줄넘기.스쿼트 가튼 운동 를 좋아해서 평소 많이 했었는데 어느날 부터 무릎이 살짝 결림증상이 나타났는데 괜찮은거같아서 계속진행. 전역후 마라톤대회 나갈려구 연습중 뛸때마다 결림증상이 더심해져서 달리기 그만두고. 병원갔는데 엑스레이 찍으니 아무이상 없다고 하고 해서 무릎 부담되는운동 8개월정도 포기하던와중. 와이드스쿼트가 무릎에 좋대서 전부터 5세트씩 빡세게 했는데 2일지난 오늘 낮잠자고일어나니 극심한 살면서 느껴본적없는 무릎통증이 왔습니다ㅜㅜ .수술해야하는걸까요?,엠알아이 시티 등 정밀진단 받아보세요x레이로 못 찾는거 나올겁니다 저도 그런거 방치하다가 발목인대 파열된거 나중에 수술했어요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70701&docId=299499349&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=4&search_sort=3&spq=0
무릎 통증 질문입니다..,저는 군대에서 달리기.줄넘기.스쿼트 가튼 운동 를 좋아해서 평소 많이 했었는데 어느날 부터 무릎이 살짝 결림증상이 나타났는데 괜찮은거같아서 계속진행. 전역후 마라톤대회 나갈려구 연습중 뛸때마다 결림증상이 더심해져서 달리기 그만두고. 병원갔는데 엑스레이 찍으니 아무이상 없다고 하고 해서 무릎 부담되는운동 8개월정도 포기하던와중. 와이드스쿼트가 무릎에 좋대서 전부터 5세트씩 빡세게 했는데 2일지난 오늘 낮잠자고일어나니 극심한 살면서 느껴본적없는 무릎통증이 왔습니다ㅜㅜ .수술해야하는걸까요?,"저는 군대에서 달리기.줄넘기.스쿼트 가튼 운동 를 좋아해서 평소 많이 했었는데 어느날 부터 무릎이 살짝 결림증상이 나타났는데 괜찮은거같아서 계속진행. 전역후 마라톤대회 나갈려구 연습중 뛸때마다 결림증상이 더심해져서 달리기 그만두고. 병원갔는데 엑스레이 찍으니 아무이상 없다고 하고 해서 무릎 부담되는운동 8개월정도 포기하던와중. 와이드스쿼트가 무릎에 좋대서 전부터 5세트씩 빡세게 했는데 2일지난 오늘 낮잠자고일어나니 극심한 살면서 느껴본적없는 무릎통증이 왔습니다ㅜㅜ .수술해야하는걸까요? 반월판연골손상이 생긴듯 한데요반월판 연골은 운동 경기 중 부상이나 퇴행성으로 쉽게 손상 받을 수 있습니다.관절염이 진행돼 반월상 연골이 손상되는 것을 반월상 연골 파열이라고 합니다.이렇게 손상된 연골판은 본인이 인식하지 않는 사소한 동작으로 일어나는 경우가 많고초기에는 약간의 통증이 있더라도 연골손상이라고 생각하지 못하는 경우가 많습니다.손상 형태는 종 파열, 횡 파열, 수평 파열의 기본 형태가 있으며,여기에 병연부 박리, 하면 파열 등의 복합형도 있습니다반월상 연골은 무릎관절 사이에 위치한 반달모양의 연골인데무릎을 구부리고 펴는 동작을 하는 과정에서 퇴행이 진행되므로 반월상 연골은 나이가 들면서 손상의 정도가 심해질 수 있습니다.특히 계단을 오르는 등 일상생활을 하거나 다양한 스포츠 활동을 하는 과정에서 충격에 노출되면 연골의 손상 위험성은 더 커집니다.정형외과 진료를 받아 보세요. 관련 전문의 의견을 모아서 링크를 해 드렸었는데 네이버가그런건지 누가 신고를 해서 그런건지흥보성 글이라고 답을 삭제해서 추가로 링크를 못해드립니다. 무릎 통증 관련물렁뼈연화증 설명       무릎 연골연화증 관련     반월판 연골 손상증상 설명        반월상연골판 파열 관련      원판형연골판 관련      박리성골연골염 설명         박리성골연골염 관련      연골 관련    관절검사 설명            관절내시경 관련    뼈주사•연골주사 어떻게 다를까    엑스선•CT•초음파•MRI 관련       방사선 피폭량 관련     초음파 검사 설명을 아래 카페나 인터넷에서 찾아서 읽어 보세요."
무릎 통증 질문입니다..,저는 군대에서 달리기.줄넘기.스쿼트 가튼 운동 를 좋아해서 평소 많이 했었는데 어느날 부터 무릎이 살짝 결림증상이 나타났는데 괜찮은거같아서 계속진행. 전역후 마라톤대회 나갈려구 연습중 뛸때마다 결림증상이 더심해져서 달리기 그만두고. 병원갔는데 엑스레이 찍으니 아무이상 없다고 하고 해서 무릎 부담되는운동 8개월정도 포기하던와중. 와이드스쿼트가 무릎에 좋대서 전부터 5세트씩 빡세게 했는데 2일지난 오늘 낮잠자고일어나니 극심한 살면서 느껴본적없는 무릎통증이 왔습니다ㅜㅜ .수술해야하는걸까요?,"안녕하세요. 질문자님!온라인상 정확한 진단은 어려워 간단히 설명을드리겠습니다.무릎 생각보다 복잡하게 이루어져 있고 통증의 원인도 다양합니다.때문에 당장의 수술 여부는 정확히 설명드리기 어려운 점이 있습니다만지속적으로 방치하고 증상이 악화되면 수술은 불가피해질 수 있습니다.안타깝지만 현재 좋아하시는 스쿼트, 줄넘기, 달리기 같으 운은무릎에 부담이 큰  운동으로 당분간은 피해주시는 것이 좋고무릎에 부담이 적으면서 근력을 키울 수 있는 수용이나 평지 걷기 등이 도움이 될 수 있습니다.채소, 과일, 등 푸 른 생선을 주기적으로 섭취하여 주시면서무릎 관절 손상을 유발할 수 있는 행동은 피해주시는 것이 좋습니다. 제 답변이 도움이 되셨기를 바라며, 더 궁금하신 점이 있으시다면위에 프로필을 참고하여 주시기 바랍니다.혹시나 더 궁금하신 점이 있으시다면 위에 프로필을 참고하여 주시기 바랍니다."
M자 손금이 맞나요? 맞다면 좋은건가요..저의 손금이 궁금해요!,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하세요　　지식인의 손금관련 질문이 관심은 많으나 답변이 너무 많이 밀리는 것 같아 조심스럽게 시간이 나는 대로 간단히 보이는 부분만 답변을 드리려 합니다.아래 내용이 필요하지 않으신 분들은 ‘점선안의 내용’만 확인하시고 맞네? 안 맞네? 욕하지는 말아주세요. 　　　손금은 기본적인 선들은 변하지 않으나 계속적으로 변해가는 것이라 무시하고 안 보는 것이 가장 이상적이고, 일단 봤을 경우는 본 것으로 만족해야 하며, 사주, 관상, 이름 등 종합적으로 검토해야하는 부분이고, 운세 전체에 약 20%이하 정도의 영향력으로 보시면 되고, 누구나 다 삼지창에 M자 손금에 찰떡같은 부부 운에 재물과 명예가 차고 넘치는 태양선 손금을 원하시겠지만 90%이상 대부분의 풀이는 좋게 풀이되지 못하며(운세가 진행 중인 20~30대가 많기 때문), 단순하게 손금만 가지고 좋고 나쁨을 논하고 여기에 마음 상하실 필요도 없습니다.좋든 나쁘든 평생을 함께할 손입니다.만약 안 좋다고 하면 손목을 자를 건 아니지 않습니까?생명선이 짧거나 끊어졌다고 다 죽습니까?다시 말씀드리면 어느 손을 어떻게 사용하느냐에 따라 각각의 손에 인간들이 만들어 논 손금들이 나타나지 않는 것뿐입니다.심지어 90%이상의 청,장년들의 손금에는 운명선,태양선(재물)은 나타나지도 않습니다.(이유는 알 수 없으나 좋은 손금은 거의 없으며 건강운은 99% 좋지 못합니다)　　또한 손금 역시도 각각의 논란은 발생하여여자는 왼손 남자는 오른손을 본다거나, 남녀 구분 없이 왼손은 선천적인 운, 오른손은 후천적인 운 즉 장년이상을 본다는 주장들이 있어 완전하지는 않지만 남과 여를 각각 구분하여 왼손과 오른손의 특정손금을 본다는 것은 절대 맞지 않습니다.남,여 구분 없이 반드시 양손을 다 보아야 하고 오른손이 더 중점적으로 풀이 됩니다.(그리하면 여자손금은 전부 다 엉터리 말장난이 되는 것이니 이 얼마나 웃기는 얘기 입니까?여성이라고 왼손만 보고 울고 웃는 경우를 주의하시기 바랍니다)즉 오른손잡이냐 왼손잡이냐에 따라 많이 사용하는 손으로 중심적인 손금이 형성되기 때문입니다.　손금이전에 손은 평생 동안 내가 살아가는데 도움을 주는 동반자의 역할을 하는 것입니다 그런 소중한 손에 그어진 선이 좋고 나쁘다 하는 것은 어쩌면 참으로 무지한 인간의 헛된 욕망일 수도 있습니다.차라리 어설프게 손금이 나타나 쓸데없는 쓴 소리로 기분상하기 보다는 없는 것이 좋을 수도 있으며 이것이 바로 손금이기도 합니다.손금도 삶의 한 부분이라 재미로 손금을 본다는 것은 있을 수 없으며 부족하게 풀이 된다면 한번쯤 자신을 돌아보고 노력하며 살라는 뜻으로 보시고 불성실한 답변 같거나 또 다른 답을 원하시면 채택 후 다른 분께 다시 질문을 해보시기 바랍니다.　^o^............................................................답변:안녕하세요.안 좋아도 내손이요, 좋아도 내손이라!지식인의 특성상 세세한 답변은 드리지 못합니다.약간 변형된 엠자손금이 맞습니다특히 운명선이 월구쪽에서 강하게 나타나 감수성이 풍부하고 사람대하기를 악의 없이 행하고 착한 성품입니다시,소설,작가,연예 등에 도 소질이 있습니다그런데 생명선이 너무 약해 운세가 강하게 뻗어가지 못합니다혀약한 체질이라 중년부터는 관리를 잘 하셔야 합니다태양선도 나타나고 있어 인기나 명예,재물운 등이 중년이후 부터는 좋아집니다손전체의 형이 약한 모습이고 약간의 나태함도 동반됩니다외무직이나 영업직보다는 내근직이 맞습니다엠자손금 소위 재벌손금이라는 엠자손금은 위 그림에서 보이는 것 처럼 감정선,운명선,두뇌선과 생명선을 잇는 엠자(M)를 만드는 손금을 말합니다​이와 같이 좋다는 선들이 하나로 연결되니 재물운이 풍성하여 갑부손금이라 풀이를 하는 것입니다​하지만 대부분의 엠자손금이라는 분들의 손금을 보면 장애선들이 많고 각각의 선들이 흐리거나 끊어져 있으며 특히 운명선은 제대로 연결되지 않아 가짜 엠자손금이 대부분이며 우김성으로 그냥 나도 엠자손금이라고 스스로를 위로하는 경우가 대부분 입니다​하여간 제대로된 엠자손금이라 함은 일단 감정선,두뇌선,운명선,생명선이 상호간에 조화를 이루고 길하게 잘 연결되는 경우를 최상으로 보며 재운이 풍부하여 갑부가될 수 있다고 풀이하는 것입니다​아무리 엠자손금이라 할지라도 방해선이 많거나, 손 전체가 잔금으로 이루어 지거나, 손가락사이가 벌어져 틈이 생긴다거나, 운명선이 이어주지 못하거나, 생명선이 가늘고 짧으며 섬문양 등으로 이루어지면 엠자손금을 잘 보좌지 못해 엠자가 위력을 발휘할 수 없게되니 잘 살펴보셔야 합니다'부처의 눈' 손금 부처의 눈 손금이란 위 그림 처럼 엄지손가락에 긴 눈의 모습을 한 손금을 말하는 것으로 이런 눈이 엄지에 있으면 착하고 인자하며 남을 배려하고 불의와 타협하지 않으며 베풀기를 좋아한다고 합니다.특히 종교적인 힘이 있어 기도가 잘 통하고 일이 잘풀린다거나 조상의 음덕으로 재물 등이 왕성할 수 있는 좋은 의미의 손금입니다​양손에 다 있다면 가히 길상이며 눈 양쪽 가운데 한쪽이 조금이라도 틈이 있다면 이는 짝퉁입니다　^o^............................................................　　※손금은 부족한 사주의 일부를 보완하는 것으로 사주,관상,이름,심상,유전적 성향 등에 따라 영향도 전혀 다르게 나타날 수 있으니 참고하시고 부디 오해 없으시기 바랍니다.　　　## 저는 해마다 맞춤법이나 바꾸어대는 국어학자가 아닙니다. 띄어쓰기나 철자가 틀린 것은 내용을 읽으실 수 있다면 이해해 주시기 바랍니다.　　　※본 서술내용을 불법 복제하여 홈페이지나 까페,블로그,병원,산부인과,대부업,작명업 광고, 특히 웹문서에 이용 시 저작권관련 민,형사상 처벌 및 손해배상이 청구될 수 있습니다.　　　※채택을 하시면 네이버 해피빈에 콩 100원이 기부됩니다.　좋은 인연 감사드리며 늘 건강과 행운이 함께 하시기 바랍니다.",https://kin.naver.com/qna/detail.naver?d1id=3&dirId=31502&docId=299493118&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=5&search_sort=3&spq=0
청 소 년 자 살,항상 우울하다보니까 자꾸 죽고싶다는 생각이 들어서 죽고싶어져요......힘들어요........,"그런 부정 적인 생각 가지지 마세요,,많이 힘드셨다는게 이해가 갑니다.그렇지만,인생은 살아 볼 수록 깨닳는 겁니다.정 힘드시다면 1388에 전화한후 고민을 말하시는것이 좋을 것 같네요.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70109&docId=299491972&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=6&search_sort=3&spq=0
청 소 년 자 살,항상 우울하다보니까 자꾸 죽고싶다는 생각이 들어서 죽고싶어져요......힘들어요........,"정신이 건강해야 삶이 행복합니다우리나라 청소년 자살의 특징왜 청소년기는 다른 시기보다 유독 정서적으로 힘들고 예민한 것일까? 청소년기 정신건강의 대표적 문제부터 살펴보아야 한다. 우선 아동기에서 성인기로 전환되어가는 발달학적 과업 달성과 관련한 문제가 있다. 이 과업은 ‘독립’이다. 하나의 주체적인 인간으로 성장하기 위해 정신적 독립을 달성하는 과정에서 피치 못하게 벌어지는 부모와의 갈등이 한 예가 될 것이다.또 다른 문제로는 청소년기 우울증이 있다. 성인기 우울이 내면적이고 조용한 형태로 나타난다면 청소년기 우울은 마치 비행청소년 같은 행동적 문제로 나타나는 경우가 많다. 또한 초등학생 때 시작된 문제가 지속되어 청소년기 문제로 나타나는 경우가 있을 수 있다. 예를 들어보자. 주의력결핍과잉행동장애의 경우 대개 초등학교 때 시작된다. 다행히 청소년기가 끝날 무렵에 이르면 과잉행동의 문제는 어느 정도 호전이 되지만, 주의력의 문제는 지속되는 경우가 많다. 그러나 이로 인한 진짜 문제는 과잉행동과 주의력결핍으로부터 파생되는 이차적 문제다. 성장기 동안 칭찬과 긍정적 관심을 많이 받지 못해서 낮은 자존감, 자아정체성의 혼란 등의 문제가 이어지는 것이다.청소년기에 시작하는 술과 담배의 문제, 인터넷 게임 과몰입의 문제 그리고 학교폭력의 문제 등이 우리나라 청소년들이, 아니 정도의 차이는 있겠지만 세계 어느 나라의 청소년들이나 보편적으로 경험하고 있는 정신건강의 문제라고 볼 수 있다. 그리고 청소년기 자살은 이 모든 부정적 경험의 합으로 인해 발생하는 최종적 산물일 것이다. 그렇다면 우리나라 청소년 자살의 특징은 무엇일까?우리나라 청소년 자살의 특징성별에 따른 차이가 거의 없다전 연령층을 따져 보아도 남성이 여성보다 2배 자살을 많이 하는 것으로 나타나고 있다. 이는 연령대가 올라갈 수로 심해져서 40대의 경우 인구 10만 명당 자살자가 남성이 47.6명, 여성이 20명인 반면, 80대의 경우 10만 명당 자살자가 남성이 222명 여성이 83명으로 성별에 따른 차이가 더 벌어지는 것을 볼 수 있다.그런데 청소년의 경우 남성과 여성의 차이는 거의 없다. 우리나라 청소년 자살자는 남성이 10만 명당 5.3명이고 여성은 5명이다. 왜 이런 현상이 나타나는지는 확실치 않으나 전반적으로 우리나라 여성 특히 젊은 여성의 자살률이 다른 국가들에 비해서 높다는 점과 연관성이 있다는 것은 분명하다고 볼 수 있다.다른 세대에 비해 잘 버텨 주고 있다사실 청소년의 자살 사건은 다른 세대의 자살 사건보다 더 충격적으로 다가온다. 미디어도 그런 관점에서 청소년 자살을 훨씬 자극적으로 다루고 있는 면이 있다. 그러나 통계상으로 살펴보았을 때, 청소년의 자살률은 다른 세대의 자살률에 비해 상대적으로 ‘양호’한 편이라고 감히 말할 수 있다. 우리나라 전체 자살률이 OECD국가 중 1위이며, 특히 노인의 자살률이 여타 OECD 국가와 비교가 안될 정도로 높지만, 우리나라의 청소년 자살률은 OECD 국가 중 중간 정도에 해당된다.뉴질랜드, 아일랜드, 핀란드, 폴란드 등의 국가에서 청소년 자살률이 가장 높게 나타나고 있는 것과 비교해보면 우리나라 청소년들이 온갖 어려운 상황 속에서도 나름 꿋꿋이 버텨주고 있다고 해석할 수도 있다. 물론 청소년 자살률이 세계 1위가 아니라고 해서 괜찮다는 것은 아니다. 모든 자살을 다 막을 수는 없겠지만 막으려는 노력을 해야 함은 두말할 필요가 없는 명제이다.한 순간의 ‘충동’에 기인하는 경우가 많다성인의 자살은 우울증이나 정신분열증 같은 정신질환을 동반하는 경우가 많고, 그렇지 않다고 하더라도 극심한 우울감 등 징후가 미리 나타나곤 한다. 그러나 청소년들은 우울증 등 어떤 징후를 전혀 보이지 않고 잘 지내는 것처럼 보이다가도 갑작스러운 스트레스를 이기지 못하고 자살을 선택하는 경향을 보인다.즉, 청소년의 자살은 사전 계획 없이 순간적인 충동에 의해 이루어지는 경우가 많다는 것이다. 작고 사소한 계기, 즉 친구와의 다툼, 부모의 꾸중, 경쟁에서의 패배 등이 자살로 이어지게 하는 사건들이다. 하지만 자살시도에 비해 자살 성공 확률은 낮은 편인데, 약물 복용이나 동맥절단 등 비교적 덜 치명적인 방법을 선택하기 때문이다. 또한 정서적으로 불안정한 청소년들은 자신에게 당면한 문제를 풀어내기보다 자살로 회피하려는 경향이 강하다. 때문에 청소년기의 자살은 정말로 죽으려고 하는 의도보다는, 자신의 괴로움을 극단적인 방법으로 표현하려는 의도가 강하다고 볼 수도 있다.청소년에 대한 자살 예방이 중요한 이유우리나라 청소년 자살과 자살시도는 우울, 불안 및 분노, 적대감 등과 연관성이 있는 것으로 나타나고 있다. 청소년들은 미성숙하기에 이러한 부정적 감정을 적절히 다스리지 못하고 파괴적 행동으로 나타내는데, 파괴적 행동이 자신을 향할 때 충동적인 자살시도로 이어질 수 있다는 것이다.조사마다 다르지만 대략 청소년의 15~46%가 일 년 동안 한 번 이상 자살을 생각해본 적이 있다고 하고, 3~11%의 청소년이 자살을 시도한 적이 있다고 보고되었다. 또한 대학생 자살시도자의 73%가 대학 진학 이전에 첫 번째 자살시도를 했다는 결과를 미루어 볼 때, 청소년기부터 초기성인기까지 이르는 이른바 ‘젊은 시기’의 위기는 청소년기부터 싹을 키우는 것이라고 추측할 수 있다.육체의 질병에 있어 병이 심해지기 전에 조기 예방이 중요한 것처럼, 자살도 마찬가지로 성인이 되기 전 청소년 시기에 그 싹이 트지 않도록 하는 것이 중요하다. 충동적 성향이 강한 청소년의 특성상 한 번의 위기상황을 넘기는 것에 만족해서는 안 될 것이다. 아직 온전한 자기(SELF)가 완성되지 않았기에 성인기에 이를 때까지 지속적 관심과 지원이 필요할 것이다. 치료도 필요하다. 청소년 자살시도자의 7~8%만 병원에 방문한다는 점을 미루어 볼 때(성인의 경우 10~15%), 좀 더 적극적인 형태의 치료를 받을 수 있도록 권하는 것이 중요하다. 우리나라 청소년 자살의 특징 (정신이 건강해야 삶이 행복합니다, HIDOC)"
