제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2019.03.12.|2019.03.16.&section=kin&page=1
지적장애 사기..,지적장애 대상으로 거액사기..저의 삼촌이 지적장애 십니다..하지만 공장에서 일하시며 할머니와 단둘이 살고 계시는데..어느날 저의 어머니가 할머니 병원을 다녀오면서 삼촌명의로 된 거액의 대출을 많이 하게 되었다는 걸 알게 되었습니다... 그걸 알아 보면서 지적장애 삼촌에게 만나는 여자가 있다는걸 알게 되었고 그여자가 저의 삼촌을 꼬드겨 대출을 이리저리 하게 되고 ‘2억’이상의 대출을 했다는걸 알았습니다. 이런경우 처벌을 어떻게 해야 하나요??정확히좀 알려주세요...제발요...(참고로 그 꽃뱀년은 돈을 다른 제3자에게 넘겼다고 합니다..),혼인빙자 나 사기죄 대출 서류만드는데 삼촌이 아닌 제 3자가 서류 작성시 사문서 위조 등 법적 대응 가능합니다,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=323362991&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=1&search_sort=3&spq=0
지적장애 사기..,지적장애 대상으로 거액사기..저의 삼촌이 지적장애 십니다..하지만 공장에서 일하시며 할머니와 단둘이 살고 계시는데..어느날 저의 어머니가 할머니 병원을 다녀오면서 삼촌명의로 된 거액의 대출을 많이 하게 되었다는 걸 알게 되었습니다... 그걸 알아 보면서 지적장애 삼촌에게 만나는 여자가 있다는걸 알게 되었고 그여자가 저의 삼촌을 꼬드겨 대출을 이리저리 하게 되고 ‘2억’이상의 대출을 했다는걸 알았습니다. 이런경우 처벌을 어떻게 해야 하나요??정확히좀 알려주세요...제발요...(참고로 그 꽃뱀년은 돈을 다른 제3자에게 넘겼다고 합니다..),K2.법률사무소 입니다.어떤말로 대출을 받게하고 해당 자금을 다른곳으로보내게 되었는지 살펴봐야하겠지만 우선은 사기죄일 가능성이 높아 보입니다.http://sp767.thechakan.kr/K2 법률사무소는 사건의 모든 절차를 성심껏 진행하고 의뢰인의 궁금 사항에 언제든지 친절한 답변을 드리고 있습니다.더 궁금한 사항 있으면 위의 홈페이지를 눌러서 방문해 주세요.
미치겠습니다ㅠㅠ,안녕하세요 고양이를 키우고 있는 집사입니다 제고양이가 엇그제 중성활 수술을 받으려고 병원을 갔는데 주사를 맞아야 한데요 근데 애가 제일 싫어하는게 주사라 지랄발광을 하다가 겨우겨우 전신마취 주사를 맞고 수슬을 잘 끝냈어요ㅠㅠㅠ그리고 퇴원하기전에 항생제 가루약을 처방해주시는데 애가 약을 먹는걸 엄청싫어해서 마취가 깨어나고 걸을때 애가 좋아하는 간식 츄르에다가 섞어서 줘봤는데 맛만보고 안먹더라고요  귀신같으놈 ㄷㄷㄷ사료에다가 섞어서 줘봐도 안먹고 물에다가 타먹여도 안먹고 ㄷㄷ 그렇다고 알약을 먹이기 좀 그렇고 저번에 애가 아파서 알약을 줘봤는데 토하더라고요ㅠㅠ 정말 이럴때 어떻게 해여 할까요?? 안먹이고 싶은데 안먹이면 인터넷에서 중성화 상처부위가 덧난다고 그러더라고요 만약을 대비해서 먹는건데ㅠㅠ 혹시 고양이 집사들분중 고양이 약 잘먹이는 분 계시면 꼭좀 부탁드리겠습니다ㅠㅠㅠㅠ 애가 너무 불쌍해ㅠㅠㅠ,"좋아하능 간식 ! 줄때 입벌리면 약도 같이 쓰윽 넣어보세요정 방법이 없으면 맘아프지만 억지로라도 먹여야지 어쩌겠어요 ㅠ 애용이한테는 너무 미안하지만 입 벌려서 먹게 하거나 입벌리는 어느 순간에 약을 살짝 입안에 묻히면 어떨까요 ,? 아 ! 작은 주사기 용기? 바늘 없는거 잘 헹궈서 거기에 약이랑 물이랑 타서 입벌리게 한다음 이빨 사이로 넣어서 주는것도 괜찮을 거 같아요",https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80502&docId=323362504&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=2&search_sort=3&spq=0
"아기 내성발톱 치료7개월 아기가 엄지발톱이 내성발톱 같아요조리원 퇴원하면서 발견했는데 여지껏 내내 그래요... 발톱 자라면 앞으로 뻗어나와야 하잖아요 이 엄지 발톱은 왼쪽 끝은 앞으로 자라나지만 오른쪽 끝는 한 번도 앞으로 자라난 적이 없어서 제가 끝쪽을 아예 못 봤어요; 예방접종 가서 소아과에서 이야기 했는데 베어로반 연고 사서 바르고 3일 이상 바르지 말라고 했어요. 바르다가 계속 낫지 않아서 다음 예방접종때 또 가서 베어로반 계속 발라주라고 해서 계속 발라줬는데...잠깐 가라만 앉고 근본적으로 낫지를 않아요. 제가 가는 소아과 병원이 사람이 좀 많은 편이라 그런지 얘기해도 그냥 넘기시고 대수롭지 않게 반응하시는데 장기간 이래도 문제 없나요ㅠ 어느 병원에 가야하고, 어떻게 치료할 수 있을까요?부어있는 것 보니 맘이 아파요. ㅜㅜ","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",병원 ㄱ ㄱ,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70115&docId=323360788&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=3&search_sort=3&spq=0
"아기 내성발톱 치료7개월 아기가 엄지발톱이 내성발톱 같아요조리원 퇴원하면서 발견했는데 여지껏 내내 그래요... 발톱 자라면 앞으로 뻗어나와야 하잖아요 이 엄지 발톱은 왼쪽 끝은 앞으로 자라나지만 오른쪽 끝는 한 번도 앞으로 자라난 적이 없어서 제가 끝쪽을 아예 못 봤어요; 예방접종 가서 소아과에서 이야기 했는데 베어로반 연고 사서 바르고 3일 이상 바르지 말라고 했어요. 바르다가 계속 낫지 않아서 다음 예방접종때 또 가서 베어로반 계속 발라주라고 해서 계속 발라줬는데...잠깐 가라만 앉고 근본적으로 낫지를 않아요. 제가 가는 소아과 병원이 사람이 좀 많은 편이라 그런지 얘기해도 그냥 넘기시고 대수롭지 않게 반응하시는데 장기간 이래도 문제 없나요ㅠ 어느 병원에 가야하고, 어떻게 치료할 수 있을까요?부어있는 것 보니 맘이 아파요. ㅜㅜ","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",다른병원으로 가보시는게 좋겠어요
"아기 내성발톱 치료7개월 아기가 엄지발톱이 내성발톱 같아요조리원 퇴원하면서 발견했는데 여지껏 내내 그래요... 발톱 자라면 앞으로 뻗어나와야 하잖아요 이 엄지 발톱은 왼쪽 끝은 앞으로 자라나지만 오른쪽 끝는 한 번도 앞으로 자라난 적이 없어서 제가 끝쪽을 아예 못 봤어요; 예방접종 가서 소아과에서 이야기 했는데 베어로반 연고 사서 바르고 3일 이상 바르지 말라고 했어요. 바르다가 계속 낫지 않아서 다음 예방접종때 또 가서 베어로반 계속 발라주라고 해서 계속 발라줬는데...잠깐 가라만 앉고 근본적으로 낫지를 않아요. 제가 가는 소아과 병원이 사람이 좀 많은 편이라 그런지 얘기해도 그냥 넘기시고 대수롭지 않게 반응하시는데 장기간 이래도 문제 없나요ㅠ 어느 병원에 가야하고, 어떻게 치료할 수 있을까요?부어있는 것 보니 맘이 아파요. ㅜㅜ","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",다른병원으로가세요 발톱 좀길게 잘라주는게 좋을듯해요
발통증원인과 해결책,최근 몇주간 처음에는 왼쪽 복숭아뼈 아래쪽이 아팠는데 최근에는 왼쪽 발바닥 중앙보다 살짝 뒤꿈치쪽에 통증이 있는데요 계속 아픈게 아니라 오래 걸으면 통증이 나타납니다 안아픈 날도 있고요 통증을 설명하자면 뼈가 날카로운 물건에 찔리는 듯한 통증입니다 병명이 뭘까요?,"안녕하십니까?지식iN 사룰입니다☜최근 몇주간 처음에는 왼쪽 복숭아뼈 아래쪽이 아팠는데 최근에는 왼쪽 발바닥 중앙보다 살짝 뒤꿈치쪽에 통증이 있는데요네.계속 아픈게 아니라 오래 걸으면 통증이 나타납니다 안아픈 날도 있고요 통증을 설명하자면 뼈가 날카로운 물건에 찔리는 듯한 통증입니다과거에 삔 등을 제대로 치료하지 않아서 오는 여파이거나 자신도 모르게 살짝 삐끗했거나 작고 딱딱한 신발을 신어서 오래 서 있거나 걷는 등 이유는 여럿이네요.병명이 뭘까요?병명까진 알 수 없고.부드럽고 넉넉한 신발을 신어주고.적당히 부목을 대주면 더 좋고 아니면 붕대만이라고 감아주고.약국에서 소염제를 사서 먹으면서.비닐을 덮어서 냉찜질을 몇 번 해준 후 온찜질로 바꿔서 수시로 해주면 좋겠습니다.찜질은 어느 것이든 서너 시간 간격을 두고 회당 20분 정도가 제일 좋고.대충 1주 정도에도 좋아지는 기미가 없으면 종합병원 족부 외과로 가보시고요.안녕히 계십시오☜출처 :무턱대고 병원들 가들 마라. : 분안의학(分案醫學, Separate guidance medicine).",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70106&docId=323358108&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=4&search_sort=3&spq=0
일을 그만두고싶어요. 영어학원에서 일합니다. 시작한지 2주 되엇는데 너무 안맞아서그만둔다고 했어요. 도저히 힘들어서 죄송하다 말씀드리고 이번달까지만 하고 그만두겠다고 햇더니 다음 선생님 구할때까지 잇으라고 하더니선생님을 안구하고 잇는것같아요. 다음달부터 안나가 버리면 어떨까요?3월에 일한 월급은 주겠죠??다음달부터 안나가버리면 저한테 피해오는게 잇을까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","퇴사는 협의하거나 허락받는 게 아니라 내가 결정해서 일방적으로 통보하는 겁니다.최초 퇴사 통보일로부터 1개월 경과 시 민법 제660조에 의거, 회사 사정이나 회사의 동의 여부와 상관없이 퇴사가 됩니다.■ 민법 제660조(기간의 약정이 없는 고용의 해지통고)①고용기간의 약정이 없는 때에는 당사자는 언제든지 계약해지의 통고를 할 수 있다.②전항의 경우에는 상대방이 해지의 통고를 받은 날로부터 1월이 경과하면 해지의 효력이 생긴다.③기간으로 보수를 정한 때에는 상대방이 해지의 통고를 받은 당기후의 일기를 경과함으로써 해지의 효력이 생긴다.만약 근무 조건이 당초 약속과 다르다면 즉시 퇴사할 수 있습니다.● 민법 제658조(노무의 내용과 해지권)①사용자가 노무자에 대하여 약정하지 아니한 노무의 제공을 요구한 때에는 노무자는 계약을 해지할 수 있다.근로기준법● 제19조(근로조건의 위반) ① 제17조에 따라 명시된 근로조건이 사실과 다를 경우에 근로자는 근로조건 위반을 이유로 손해의 배상을 청구할 수 있으며 즉시 근로계약을 해제할 수 있다. ② 제1항에 따라 근로자가 손해배상을 청구할 경우에는 노동위원회에 신청할 수 있으며, 근로계약이 해제되었을 경우에는 사용자는 취업을 목적으로 거주를 변경하는 근로자에게 귀향 여비를 지급하여야 한다.모든 근무일수에 대한 임금 및 퇴직금은 퇴사일로부터 14일 이내에 지급해야 합니다.근로기준법● 근로기준법 제36조(금품 청산)사용자는 근로자가 사망 또는 퇴직한 경우에는 그 지급 사유가 발생한 때부터 14일 이내에 임금, 보상금, 그 밖에 일체의 금품을 지급하여야 한다. 다만, 특별한 사정이 있을 경우에는 당사자 사이의 합의에 의하여 기일을 연장할 수 있다.● 제109조(벌칙)① 제36조, 제43조, 제44조, 제44조의2, 제46조, 제56조, 제65조 또는 제72조를 위반한 자는 3년 이하의 징역 또는 2천만원 이하의 벌금에 처한다.  <개정 2007.7.27.>근로계약 시 위약 약정을 하는 것은 효력도 없을뿐더러 불법입니다.근로기준법● 제15조(이 법을 위반한 근로계약)① 이 법에서 정하는 기준에 미치지 못하는 근로조건을 정한 근로계약은 그 부분에 한하여 무효로 한다.② 제1항에 따라 무효로 된 부분은 이 법에서 정한 기준에 따른다.● 제20조(위약 예정의 금지)사용자는 근로계약 불이행에 대한 위약금 또는 손해배상액을 예정하는 계약을 체결하지 못한다.● 제114조(벌칙)다음 각 호의 어느 하나에 해당하는 자는 500만원 이하의 벌금에 처한다.<개정 2007.7.27., 2008.3.28., 2009.5.21., 2012.2.1.>1. 제6조, 제16조, 제17조, 제20조, 제21조, 제22조제2항, 제47조, 제53조제3항 단서, 제67조제1항·제3항, 제70조제3항, 제73조, 제74조제6항, 제77조, 제94조, 제95조, 제100조 및 제103조를 위반한 자근무 도중 휴게시간 한 시간은 반드시 준수해야 합니다.근로기준법● 제54조(휴게)① 사용자는 근로시간이 4시간인 경우에는 30분 이상, 8시간인 경우에는 1시간 이상의 휴게시간을 근로시간 도중에 주어야 한다.② 휴게시간은 근로자가 자유롭게 이용할 수 있다.● 제110조(벌칙)다음 각 호의 어느 하나에 해당하는 자는 2년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.  <개정 2009.5.21., 2012.2.1.>1. 제10조, 제22조제1항, 제26조, 제50조, 제53조제1항·제2항·제3항 본문, 제54조, 제55조, 제60조제1항·제2항·제4항 및 제5항, 제64조제1항, 제69조, 제70조제1항·제2항, 제71조, 제74조제1항부터 제5항까지, 제75조, 제78조부터 제80조까지, 제82조, 제83조 및 제104조제2항을 위반한 자본인 판단 기준으로, 급여 대비 과도한 노무를 요구하면 미련하게 시키는대로 일을 다 하려고 들지 말고 이렇게 대응하세요.“내 몸이 안 따라줘서 더 이상의 일은 하는 것은 불가능하다.”“월급을 두 배로 준다고 해도 이 많은 일을 다 하는 것은 불가능하다.”“오늘도 야근했다간 내일 쓰러져 병원에 입원할 것 같다.”근로기준법● 제7조(강제 근로의 금지)사용자는 폭행, 협박, 감금, 그 밖에 정신상 또는 신체상의 자유를 부당하게 구속하는 수단으로써 근로자의 자유의사에 어긋나는 근로를 강요하지 못한다.● 제107조(벌칙)제7조, 제8조, 제9조, 제23조제2항 또는 제40조를 위반한 자는 5년 이하의 징역 또는 3천만원 이하의 벌금에 처한다.",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60801&docId=323357057&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=5&search_sort=3&spq=0
일을 그만두고싶어요. 영어학원에서 일합니다. 시작한지 2주 되엇는데 너무 안맞아서그만둔다고 했어요. 도저히 힘들어서 죄송하다 말씀드리고 이번달까지만 하고 그만두겠다고 햇더니 다음 선생님 구할때까지 잇으라고 하더니선생님을 안구하고 잇는것같아요. 다음달부터 안나가 버리면 어떨까요?3월에 일한 월급은 주겠죠??다음달부터 안나가버리면 저한테 피해오는게 잇을까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",귀하가 일을 하는 직장을 다니기 싫으면 언제까지 일하고 그만둔다는 요지의 사직서를. 써주고 사직서에 멍시한 날까지 근무하고 그만두면 일한기간에 대한. 임금을. 받을수 있을것으로 보입니다
일을 그만두고싶어요. 영어학원에서 일합니다. 시작한지 2주 되엇는데 너무 안맞아서그만둔다고 했어요. 도저히 힘들어서 죄송하다 말씀드리고 이번달까지만 하고 그만두겠다고 햇더니 다음 선생님 구할때까지 잇으라고 하더니선생님을 안구하고 잇는것같아요. 다음달부터 안나가 버리면 어떨까요?3월에 일한 월급은 주겠죠??다음달부터 안나가버리면 저한테 피해오는게 잇을까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","퇴사통보는 보통 한달~2주 전에만 하면 별 문제없어요 구할때 까지 있어야한다는 곳이 많은데,,정말 제대로 된 의사를 밝히셨고 사직서를 제출하심 될 것 같습니다일한 날짜만큼 임금은 다 받을 수 있어요 ~ 저는 직장 생활중 지긋지긋한 야근과 추가업무,그리고 직장 내 스트레스 까지..변하지 않는 월급으로 재택근무를 시작하게 됬어요 ^^출퇴근 없이 일할 수 있는 일이라스트레스도 안받고, 시간도 자유로워서 딱 좋은거같아요심지어 직장 다닐때보다 수입도 더 좋구요 직장 다닐때 200만원도 못벌었었는데..재택근무하면서 첫달에 300만원 가까이 벌었네요 !(절대 불법,다단계 아닙니다 안심하셔요합법적인 회사에서 근무중이에요 ^^)간단한 타이핑 알바부터,쇼핑몰 창업 지원까지 수익 낼 수 있는 구조는 많이 있구요초보라 걱정 되신다,컴맹이라 할 수 있을까?걱정하시는분들을 위해서 1:1 서비스로 다 가르쳐 드리고 있으니걱정 안하셔두 됩니당 수익 낼 수 있는 노하우 다 공개 해드리고 있어요 ^^틈틈히 시간내어 할 수 있는 일이라주부,직장인,대학생 분들도투잡/부업으로 많이들 하고 계시니관심 있으시면 카톡 한번 주세요집에서 돈 벌 수있게 도와 드릴께요 ^^ 카톡 doris23"
