제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2019.04.02.|2019.04.06.&section=kin&page=1
항문과 생식기 사이,"20대 남자입니다. 일주일 정도 전부터 항문과 생식기 사이 위치의 몸 안쪽이 뭔가 답답합니다.정확히는 항문보다는 음낭 바로 아래쪽. 다리사이(가랑이) 살 안쪽 부분이 답답합니다. 조금 무거운 느낌이라고 해야할지, 땡기는 느낌이 든다고 해야할지.. 뭔가 애매한 느낌이 들어서 불편합니다. (앉아있을때 특히)찾아보니 비슷한 위치에 전립선이 있는것 같긴 한데위치가 전립선이 맞는건지도 잘 모르겠고 어느 병원을 방문해야 할지 모르겠습니다.비뇨기과를 방문해야 하는지..?제 증상에 대해서 답변 달아주시면 감사하겠습니다.",비뇨기과 가시면됩니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70104&docId=324733484&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=1&search_sort=3&spq=0
쌍수 매몰을 하려고 하는데요 무쌍이지만 눈위에 지방이 거의 없고 눈을 쎄게 뜨면 약간의 라인이 생겨서 매몰을 하려고 하는데 비용은 어느정도 들까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",안녕하세요 ?병원 마다 가격 천차 만별 이에요저도 쌍수 매몰 했습니다지방 제거 안했구요70만원 정도 주고 했습니다엄청 진짜 아풉니다 .;;,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70110&docId=324731069&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=2&search_sort=3&spq=0
쌍수 매몰을 하려고 하는데요 무쌍이지만 눈위에 지방이 거의 없고 눈을 쎄게 뜨면 약간의 라인이 생겨서 매몰을 하려고 하는데 비용은 어느정도 들까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","눈성형은 눈꺼풀의 두께, 피부의 쳐짐정도, 지방양, 근육의 힘 개개인의 눈상태에 따라 수술방법이 달라질수 있는데요 자신에게 맞는 수술 방법은 상담을 해보셔야 겠지만 매몰법으로만 가능하다면 40~70 정도 생각하시면 될듯 합니다.눈성형의 경우에는 수술 수요가 많은 만큼 쌍꺼풀이 풀리거나 라인이 부자연스러워지는 등의 부작용으로 재수술 수요도 덩달아 늘어나고 있기 때문에 힘들더라도 누가 좋다는 말만듣고 무작정 찾기보다는  성형외과 전문의를 중심으로 몇곳에서 직접 상담을 다녀보신 후 결정하셔야 수술 결과에 후회가 없습니다.성형외과 전문의는 대한 성형외과 의사회에서 확인하실 수 있습니다.수술받으실 병원 혹은 수술을 집도할 의사성명을 확인하신 후 검색창에 직접 확인해보세요http://www.prskorea.co.kr/hospital/index.asp <<< 의사성명

http://www.ksaps.or.kr/hospital/ <<< 병원명 

출처 : http://www.cdstar.co.kr/"
쌍수 매몰을 하려고 하는데요 무쌍이지만 눈위에 지방이 거의 없고 눈을 쎄게 뜨면 약간의 라인이 생겨서 매몰을 하려고 하는데 비용은 어느정도 들까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",눈두덩이에 지방 거의 없고 눈꺼풀 얇으면 매몰로 살짝만 찝으면 될거같은데 비용은 병원따라 달라여!지금 이벤트 같은거 하는 곳도 있으니 발품 팔아보시는게 좋아여!
"코수술 후 콧대 울퉁불퉁거림이요ㅠㅠ7년전에 콧대에 레디어스로 코필러 맞았었고 남아잇는 필러들이 뭉쳐서 옆모습 앞모습에 필러가 너무 티나서 필러제거주사를 맞아봤지만 제거가 안되서 코 수술하게됬어요. 필러가 남아있어서 코수술때 제거하고 콧대 실리콘, 코끝 비중격으로 수술했어요콧대에 남아있던 필러는 최대한으로 거의 다 짜내셨다고 하셨어요지금은 코수술한지 3주정도 됬는데 붓기는 거의 없는편 같은데 붓기가 빠지면서 콧대부분이 잘 보이니까 이전처럼 울퉁불퉁한 느낌이 다시 보이더라구요.이전에 병원에 문의했을때엔 원장님께서 거의 다 제거했고 필러가 안에서 뭉쳐있으면서 주변조직이 흉살처럼 생겨서 지금 그래보이는건데 시간이 지나면 괜찮아질거라고 하시는데,, 맞나요?? 만약 아니라면 왜 그런지 알 수 잇을까요ㅠ 맞다면 시간이 어느정도 흘러야 흉살이 사라질까요..조명이 머리위에서 비출때, 옆모습 사진찍을때에 콧대 이런모습이 너무 잘 보여서 스트레스 받아요...빨리 해결할 수 잇는 방법이 없나요?그리고 코수술 후 옆으로 자는건 시간이 얼마나 지나야 가능한가요?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",안녕하세요. 대한의사협회·네이버 지식iN 상담의사 조임철 입니다.레디어스는 칼슘필러이기 때문에주위 조직에 다 퍼져서 필러만 제거하기는 힘들고필러가 퍼진 정상조직까지 모두 제거해야 없앨 수 있을겁니다.레디어서는 해독제는 없고 수년이 지나가면 흡수되어서 없어진다고 되어있답니다.의사가 코수술할때는 겉으로 보기에 매끈하게 되어야 수술이 끝나거든요.지금 울퉁불퉁한게 나중에 괜찮아질지는 저는 잘 모르겠습니다.원장님이 그렇게 이야기 하셨다면 믿고 기다려 보는 수밖에 없을것 같네요.다른 방법은 없습니다.  지켜보시다가 나중에도 그러면6개월이후에 재수술하시는게 가장 나을 듯 합니다.윤곽이나 흉주사를 맞으면 더 울퉁불퉁해지면 정말 돌이켜기힘들 수도 있습니다.그리고 한달정도 지나면 어느정도 교정이 되어서옆으로 주무셔도 될 겁니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70110&docId=324731067&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=3&search_sort=3&spq=0
안녕하세요... 동갑내기 연애하는 23살 여자인데요.제가 2년전에 2살 연상인 군인과 연애를 했었거든요?? 그건 1년연애 였는데요.어제 연락이 다시 닿아서 저한테 남자친구 생겼냐 잘지내냐 이런 말을 하면서 남친있는데 너랑 다시 연애하고싶다. 이제는 연애만 하는게 아니라 너라우결혼 마저 하고싶다 이러는거에요.2년전엔 제가 그 남자한테 차였거든요?? 그런데 지금 동갑내기 하는 남자랑 대학 졸업하고나서 2년 후에 결혼까지 갈 생각이었는데 그 남자가 다시 나타나서 저한테 그래서 웬지 모를 그리움? 이 밀려오는데.... 제가 미친거 압니다....아는데.... 이거 어떻게 해야하죠???그남자는 2년전 군인신분 이었고 지금은 제대하고 병원에 입원한걸로 알고있습니다.,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","군인이 직업인가요? 아직 23살이면 결혼까지 생각하기엔 너무 멀지 않을까요?2살연상이어도 25인데 상대방도 본인도 경제적으로 준비가 되있는지 잘 생각해보세요.사랑이 기반이겠지만 결혼은 현실입니다. 물론 연애도 결혼을 생각하고 시작하는 것이겠지만결혼을 너무 전제로 얶매여서 틀에 가두려고 하지마세요. 어느정도는 결혼까지는 아니야 라는 마음으로 서로 풀어주다보면 인연이 알아서 이어줄것입니다.그렇게 마음을 풀어놔야 나중에 이별이 와도 훌훌털고 더 멋진 사람 만날 수 있어요.군인과는 어떻게 헤어졌는지 짚고 넘어가는게 좋겠는데요. 그리고 위내용만 봤을때 남친이 있는데 접근하는 사람이라면 딱히 믿음이 안가는데요. 물론 글쓴이가 너무 좋아서 그럴순 있는데 헤어졌던 사이고 다시 진지하게 만날 마음이라면 무턱대고 결혼하고 싶다는 얘기까진 안할것 같네요. 2년전 일이고 저런 말을 쉽게 하는 것이 조금 무책임해 보입니다.경제적인 것도 중요하겠지만 결혼에서 제일 중요한건 그사람의 성품이에요.술,담배 가까이 하는 사람이라면 멀리하고 성실한지, 자상한 사람인지, 싸울때 대처하는 모습, 어른을 대하는 모습, 아이를 대하는 모습 이런 상황을 자주 겪어보고 글쓴이가 정말 믿음이 가고 신뢰가 가는 사람을 선택하는게 좋아요. 2년이상은 사람을 만나보고 겪어봐야 됩니다.",https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80101&docId=324726091&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=4&search_sort=3&spq=0
안녕하세요... 동갑내기 연애하는 23살 여자인데요.제가 2년전에 2살 연상인 군인과 연애를 했었거든요?? 그건 1년연애 였는데요.어제 연락이 다시 닿아서 저한테 남자친구 생겼냐 잘지내냐 이런 말을 하면서 남친있는데 너랑 다시 연애하고싶다. 이제는 연애만 하는게 아니라 너라우결혼 마저 하고싶다 이러는거에요.2년전엔 제가 그 남자한테 차였거든요?? 그런데 지금 동갑내기 하는 남자랑 대학 졸업하고나서 2년 후에 결혼까지 갈 생각이었는데 그 남자가 다시 나타나서 저한테 그래서 웬지 모를 그리움? 이 밀려오는데.... 제가 미친거 압니다....아는데.... 이거 어떻게 해야하죠???그남자는 2년전 군인신분 이었고 지금은 제대하고 병원에 입원한걸로 알고있습니다.,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하세요 ?님도 아직 못잊은거 같네요 ?흔들리는거 같은데 ..다시 만나려면 남친 차고 ,전남친한테 가야 될듯 해요마음이 시키는대로 하세요그게 제일 정답인거 같아요"
어느 병원으로 가야 하나요??한 2주전부터 저 파란색으로 색칠한 부분이 자꾸 심하게 뭉치면서 어지럼증까지 생기고 있어요. 손으로 좀 세게 풀어주면 잠시 나아지긴 하는데 몇 분 있으면 또 엄청 뭉치는 느낌 나면서 어지럼증이 생기는데 이런 어느 병원으로 가야하나요? 안과로 가야할지 신경과로 가야할지 고민이에요.,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","음,님의 상태가 평활근이 긴장하게 만드는 상황이네요,,긴장을 이완하세요,,회피하시던지그러다 구안와사도 올수 있어요,,잠도 좀 주무시고 누굴 미워한다면잠시 미루세요,,,다른사람과 비교하는것도 미루세요,,,갖고싶은것도 당분간 미루세요,,그리고 잠시 님이 속한 우주가 얼마나 큰지 상상도 해보세요,,앞으로 50억년후 지구가 없어진다는사실을 떠올려보세요,,,,심장을 쉬게 해주세요,,,그래도 안되면 약이라도 먹고 편안해지세요베타차단제ㅡ항우울제,항불안제,평활근이완제 등으로 치료됩니다,",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70108&docId=324725097&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=5&search_sort=3&spq=0
후비루와 역류성 식도염을 치료하려면 어느과로 가야하나요?,안녕하세요.후비루 및 역류성 식도염 증세로 고민중입니다.먼저 제가 원래 만성 비염이 있는데 코막힘이나 콧물흐름 증상은 없습니다.단지 비증으로 인해 코속에 누런 딱지가 생기고 콧물이 목뒤로 넘어가는 후비루증상이 오랫동안 계속되었습니다.그리고 역류성 식도염도 있구요...요즘은 역류성 식도염 증상이 더 심해졌는지 식도(?) 부분이 늘 답답하고 가스가차고 소화가 안되는 느낌이 심해졌습니다.트림도 자주 나오구요.마치 사이다 한캔을 통채로 마시고 트림을 못한듯한 느낌이 하루종일 계속되네요...예전에는 소화불량 증상까지는 없었거든요.그리고 목소리도 쉰목소리로 변하네요... ㅜㅜ아무래도 후비루와 역류성 심도염이 원인인듯한데...이경우 병원을 가려면 내과로 가야할까요? 이비인후과로 가는게 좋을까요? 아니면 두과를 동시에 다녀야하나요?궁금합니다.,"안녕하세요. 하이닥-네이버 지식iN 상담의 최혁기 입니다. 코, 목이 불편하시네요.영상답변드립니다.감사합니다.
 



   광고 후 계속됩니다.       다음 subject author   
			취소
		   후비루와 역류성 식도염을 치료하려면 어느과로 가야하나요? 
	재생 
 464                  0:00:00    
		재생
	    
		음소거
	         
	00:00
  
	02:01
     
		설정
	   
		넓은 화면
	   
		전체 화면
	      
			해상도
		 자동 480p   
			자막
		 사용 안함  
			재생 속도
		 1.0x (기본)   해상도   
			자동 (480p)
		   
			480p
		   
			270p
		    자막 
	설정
   
			사용 안함
		      옵션  글자 크기    배경색    재생 속도   0.5x 1.0x (기본) 1.5x 2.0x    
        알 수 없는 오류가 발생했습니다.
     
                        도움말 보기
                       음소거 상태입니다. 
                    도움말
                
                    라이선스
                 
				고화질 재생이 가능한 영상입니다.
				설정에서 해상도를 변경해보세요.
			 더 알아보기 
	0:00:00",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70102&docId=324723380&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=6&search_sort=3&spq=0
안녕하세요 저는의사가되고싶은중2입니다1.의사가되려면 무슨과목을잘하야하고 어디대학교 어디학과를 가야되나요?2.제가의사가되려는계기는 부모님또는 아는지인이다쳤을때수술을하야되는데 수술시간이 미뤄지는경우도있고 아픈데 수술을 못해서 가족들에게 미안합니다그리고 돈없는사람이 수술을 해야되는데 돈이없어못하는경우가있어서...제월급에서 제가사는 생활비빼고 병원수술비로 드리고싶습니다 제가 의사가되려면 무슨 과목을잘해야되고 어디고.어디 대를 가무엇을해야되나요?원래는 과학고를 가려했습니다생명과학으로 암.또는 고치지못하는병을 만들어 병이들었는데 처방전이없는사람들에게해주고싶었습니다의사가되려면 어떻게 해야하나요자세히알려주시면 감사하겠습니다!작게나마내공100을드리겠습니다..제가 조금밖에없어서....죄송합니다...좀 좋은데를 가고싶습니다좋은데는 아픈사람들디 많기때문입니다...약간의 보탬으로 수술비를 조금 덜어드리고싶습니다수술.소아과를 원합니다...어디 학과를 갈진 못정했습니다..,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","의사..멋진 직업입니다. 하지만 그만큼 아무나 될 수 없는 직업이죠.의사가 되기 위해서는 모든 과목을 아주 잘해야 합니다. 전국 60만 수험생들을 상대로 1% 안쪽의 위치로 들어와야 하며, 전과목 1등급은 기본으로 깔고 들어간다고 보시면 되겠습니다.의사가 되기 위해서는 의예과가 있는 4년제대학에 진학하시면 되고, 의대는 어느 대학에서나 가장 많은 지원금을 쏟는 학과이므로 대학은 크게 신경쓰지 않으셔도 되겠습니다. 어디 산골짝에 박힌 지방 이름없는 4년제 의예과라도 등급컷은 똑같이 엄청나게 높거든요.",https://kin.naver.com/qna/detail.naver?d1id=1&dirId=1010402&docId=324722622&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=7&search_sort=3&spq=0
