제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2020.03.12.|2020.03.16.&section=kin&page=1
비만클리닉에 대해서 잘 아시는 분만 답변해 주세요,일단 가면 뭐를 해 주나요? 효과는 있나요? 가격은 어느 정도 되는지 알고 싶어요 광고 답변은 차단 신고할게요,보통 약 처방을 위해서 가죠저도 병원 가서약 처방받고 그거 먹고있어요인터넷에서 광고하는 보조제같은거 먹고효과도 못보고 알수없는 부작용 생기는니병원에서 검증된 약 처방받는게 낫다고 생각해서병원 다니고 있어요​저는 친구가 큐시미아라는 약 추천해줬는데그냥 살수는 없고병원에서 처방만 받을 수 있는약이라주변에 처방해주는 병원 찾아보고미리 연락하고 갔어요​3주째 복용중인데식욕억제 꽤 잘돼요​어차피 인터넷에서는 살수도 없는제품이라광고도 못하구여 ㅋ걍 후기 궁금하시면 놀러오세여​​(내돈내산) '큐시미아’ 3주 복용 후기 - https://weekendgarden.tistory.com/m/14​​,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80304&docId=350143691&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=1&search_sort=3&spq=0
헬스 다이어트 스케줄,"164 / 98 입니다. 헬스를 시작하려하는데 3분활, 5분활 어느걸로 진행해야될지 궁금하며, 월~토 까지 운동하고 일요일은 쉬는 스케줄로 하고싶습니다. 5분활의 장정 및 스케줄 3분활에 장정 및 스케줄 궁금하며, 식단을 어떻게 해야되는지 궁금합니다.",1.헬스장 여는시간과 닫는시간 모르겟지만 아침운동 밤운동으로 나눠주시면되고 꼭 시간을 정해서 가세요 어떤날는 아침 7시에가고 어떤 날은 아침 8시에 가고 이러시면 운동하지말까 라는 생각이 들수있습니다 웨이트운동을 하실껀지 유산소를 하실껀지 모르겠지만 웨이트라면 1시간동안 무게에 따라서 30초에서 1분정도 쉰다고 보면됩니다 빡세게 하셔야합니다 그리고 안전하게 안그럼 다이어트전에 병원갈수도있어요 웨이트 제대로 안하면정말 위험한 운동입니다​2. 절대로 굶어서 빼지 마세요 살이 보기 안좋게 빠짐니다 다이어트 식품을 살 여건이 되신다면 좋겟지만 아까우시면 굳이 안사도됩니다 흰쌀밥은 되도록이면 피해주시고 아침 점심 저녁 밥양을 서서히 줄여가세요 예를들어 평소에 3공기를 먹는다면 2공기 반으로줄이고 1~2주뒤 적응이 되면 2공기로 줄이십시오 어느날은 1공기만 먹어도 배가부르는 시점이 올껍니다,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70701&docId=350143212&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=2&search_sort=3&spq=0
"일어서면 등이 저려요. 그리고 앉으면 손가락, 팔이 저려요","고등학생때 백덤블링을 하다가 목과 허리가 심하게 꺽인적이 있었습니다.부모님께 혼날까봐 말 못하고 며칠을 끙끙 앓았습니다.시간이 지나서 저린 증상은 서서히 없어졌고, 20대중반에 어느날 많이 걸은적이 있는데 (1시간 정도)그때부터 다시 증상이 시작되었습니다. 현재 4년째 계속 저림현상이 있어요.거의 매시간마다 아픈데 일상에 지장을 줄 정도는 아니지만 현재 29살인데 슬슬 걱정이 되네요.대구에 거주중인데요 이럴때는 어느 병원에 가야 할까요?또 병원을 추천해주셔도 감사드리겠습니다.혹시 제가 하면 좋은 스트레칭이나 운동이 있을까요?좋은 답변 부탁드립니다!","안녕하세요. 대한의사협회·네이버 지식iN 상담의사 전평식 입니다.​증상으로 보아서 여러 근육이 뭉치는 근막통증후군을 의심합니다. 근막통증후군(Myofascial Pain Syndrome)은 근육이나 근육을 싸고 있는 근막의 길이가 짧아지면서 대사물질이 생겨 순환이 적어지고 통증을 유발하면서 누르면서아픈 압통점과 주변으로 방사되는 방사통이 특징입니다. 주로 나쁜 자세나 만성질환, 만성피로증후군에서 생깁니다. 가장 좋은 치료는 제대로 된 스트레칭이고압통점에 주사를 맞고 스트레칭과 물리치료를 받으시면 됩니다.  영양도 중요한데 야채나 신선한 것으로 드십시오. 따뜻한 물에 샤워를 하시고 근육을 전체적으로 이완하셔도 좋습니다. 재활의학과에 가보십시오.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70120&docId=350143106&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=3&search_sort=3&spq=0
병원 취업 자격증,병원 취업 자격증 따면 대졸 아니여도 취업가능한가요?취업해서 나중에 학점은행제 하면 대학학위 얻을수있나여?,"무분별한 광고성 댓글때문에 힘드시죠?​제가 수기로 답변해드리겠습니다.​어느병원 어느과를 희망하시나요?​언제든지 학은제를 이용해 학위 취득이 가능합니다!​​이상 수기답변이였습니다.​추가적인 궁금증, 문의사항이 있으시면 네임카드 참고해서 연락주시면​더 자세히 상담 도와드리겠습니다.",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40612&docId=350140492&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=4&search_sort=3&spq=0
손끝 발끝 저림 및 통증,안녕하세요?67년생 엄마(과거력 자궁암)가 최근 약 7일정도 손끝 발끝이 아프다고 하십니다손끝 발끝에 생인손도 났고 뜯거나 감염요인이 없는데 어느날 갑자기 그런다고 하시네요 저리거나 손가락을 굽힐 수 없을정도로 부은느낌? 손끝도 빨갛다고 하시고요.. 류마티스일까요? 어느병원 진료를 보아야하나요?,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 고재기 입니다.​우선은 가까운 류마티스내과로 가셔서 전문의 진찰 및 혈액검사, 엑스레이 등 정밀검사를 받아 보시기 바랍니다. 올려주신 증상만으로는 어떤 원인인지 알 수 없기 때문에 검사를 통해서 원인을 찾아봐야 할것 같습니다. ​환자의 성별, 연령, 병력이나 기타 상황에 따라 다양한 가능성을 두고 환자분의 현재 상태를 좀 더 면밀하게 살펴 봐야 할듯합니다.​감사합니다. ​​​​",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010108&docId=350137020&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=5&search_sort=3&spq=0
자주 악몽을 꾸는데 악몽들이 다 비슷한 패턴입니다,정말로 고민이다 보니까 질문을 드리게 됬습니다..항상 뭔가 그냥 잘때는 상관이 없는데 집에서 원래 잘시간이 아닐때 잠들게 되거나 낮시간에 잠들게 되면 얕은 수면을 하는듯 하면서 잠에 드는데 그때 항상 꿈을 꾸게 되는데요.. 꿈 내용은 항상 제가 잠든 방에서 시작되고 항상 몸에 힘이 빠져있고 중력같은게 저를 누르거나어느 한 방향으로 저를 끌어드립니다 그러면 저는 아둥바둥 그 중력에 저항하다가 포기하거나하는데 그때 항상 뭔가 제가 공포심을 느낄만한 존재가 튀어나와요 귀신이라던가 어떤 손같은게 갑자기제 발목을 잡는다던가 물론 공포심은 꿈을 꾸는 시점부터 이미 불안감을 느끼고 있는 상태로 시작합니다그러다가 제가 공포를 느끼는 존재같은게 나오거나아니면 꼭 이빨들 여러개가 윗니 아랫니 같은거구분없이 빠져버립니다 제가 빼는게 아니고위에 말씀드린 중력같은게 제 이빨을 뭔가 누르고쥐어짜는 느낌.. 그래서 그 중력에 의해 많은 이빨이빠지고 저는 입속에 빠진 이빨들이 느껴지니까아..ㅅㅂ..또 이런 꿈이네.. 이러면서 뱉어내고그 귀신같은 존재들? 그런애들은 자꾸 나타나고이런 총체적 난국같은 꿈을 자꾸 꾸는데 정말저도 모르게 잠들거나 할때가 무서워 지고 정신적으로 힘이 듭니다.. 뭔가 이꿈을 자주 꾸는 이유가 무엇일까요 뭐 흉몽이여서 가족이나 일에 지장생긴다 이런 얘기들 보다는 제 심리상태로 인해서 이런꿈을 자꾸 꾸는걸까요 아니면 제가 하는일은 허구헌날 갈아엎히고뭐 잘 안될 인생이여서 이런 꿈을 꾸는걸까요...근데 또 이빨빠지는 꿈 해몽들과 달리 저 하는일은딱히 안되고 있는거 없이 잘되고 있어서...심리 상태에 관련된건가 싶긴한데.. 이유라도 알고싶어서 이렇게 긴글 적습니다... (이꿈은 최근들어서꾸는 꿈이 아니고 어렸을때 부터 자주 꿔오던 꿈이고특이 잘때 자세가 불편하거나 해서 잠에 깊게들지 못했을때마다 종특마냥 나오는 꿈입니다),"듣기 거북하시겠지만 본인의 그런 꿈과 증상은 귀신과 관려되어 있습니다.​귀신에 대해 설명드릴테니 스스로 잘 판단해보시고 인생 구제하시길요.​​​귀신을 말씀드렸듯이 세상에는 이 우주에는 사람만 사는 것이아니라 귀신도 실재합니다.​사실 귀신은 그 수가 인간 수보다도 많아 만물에 붙어있을 정도라보시면 됩니다.​​​그런데 귀신이란 존재에 대해 다들 잘못 알고있어 늘 귀신에게 혹은 그것을 이용하는 미신 무속 역학 및 종교관련자들에게 속고 당하니 부디 이번 기회에 귀신에대해 바로알고 그들에게 당하지 말고 자신의 인생을 구제하시길 기원합니다.​​​먼저 귀신들은 인간이 죽어서 귀신이 아닌 원체 존재자체가 귀신이며 모두 악귀 마귀들입니다. 원래는 형체가 없지만 인간을 속이기 위해 형상을 만들어 나와 조상인척 죽은 원한귀인척 무슨 귀신인척 합니다.​​​그들의 목적은 인간을 속여 불행으로 이끌고가고 가능하면 귀신을 붙여 세세생생 윤회하는 내내 귀신의 부림을 받게합니다. 귀신 = 마귀, 악귀들의 세상을 만드는 것이 목적이죠.​​​사람은 세종류의 사람이 있습니다.​​​1.귀신이 붙어있지 않고 귀신의 영향도 크게 받지 않는사람 (=육근 : 안이비설신의. 즉 눈 귀 코 혀 몸 마음이 깨끗한 사람.​보이는 것을 바르게 보고 들리는 것을 바르게 듣고 향도 바르게 맡고 본인의 혀도 상황에 맡게 바르게 말하고 바른 몸과 뜻, 정신이 깨끗한 사람이죠.)​​​2. 귀신이 붙어 귀신의 부림으로 사는 사람(육근이 틀어져 누가 그냥 쳐다 본것도 기분나쁘게 느끼거나 누가 그냥 지나가는말로 한말도 기분나쁘게 꼬아듣거나 자신이 말하는 것도 곱게 나가질 못하는 등 육근이 완전 뒤틀려있고 귀신의 부림으로 더 틀어져 자신이 가진 귀신의 부림 뿐 아니라 온갖 주변 잡귀들의 영향을 받는 사람으로, 그 대표적인 무리들이 무속인들입니다. 미신 무속 역학자들도 마찬가지고 일반인들도 많습니다. 자신이 귀신을 가진것도 모르는 사람들이 많지만요. 이들이 무속인들을 찾아가면 신끼있다라고 말할 것입니다..)​​​3. 귀신이 붙어있지는 않지만 2번 사람들과 거의 비슷하게 영향받는 사람(2번보단 덜하지만 비슷하게 육근이 틀어져 있어 온갖 주변 잡귀들의 영향을 받는사람들. 주위에 아주 널려있죠. 무속용어로는 신바람탄다고 말합니다)​​​이 중 그런 것들을 겪는 본인은 2번 내지 3번의 사람이고 2번의 가능성이 가장 높습니다. 또한 ㅇ인연의 법칙에 의하면 본인과 가까운 인연들도 모두 2번 내지 3번 입니다. 그래서 몸은 온갖 잔병, 가위눌림, 데자뷰현상, 예지몽, 자각몽, 악몽, 귀접, 환청, 환각, 환시 혹은 폴터가이스트라는 현상들을 겪는것입니다. 혹시 사주 점 운세 타로 미스테리리에 관심이 많진 않으신가요? 사람들 다 그러는 것같죠? 본인 인연은 다 그런 사람들이니 비슷비슷해서 다들 그런 것처럼 보이는것이지 1번 종류의 사람은 절대 그런 것에 관심 없으며 1번의 사람이 사실 2,3번 보다는 수가 많습니다.​​​귀신과 엮인 삶에 대해 설명을 좀 드리죠. 알아듣고 앞으로 닥쳐올 불행들을 조금이라도 막으시길 기원합니다.​​​귀신이 붙으면 혹은 귀신과 엮이면 그 사람의 생명은 완전히 고장나 형편없는 생명력으로 몸과 정신이 무너집니다. ​따라서 그 끝은 극단적이게는 정신병원에 들어가거나 자 살로 가죠.(자살 후 기다리는 것은 윤회도 못하고 끝도없는 처참함 속에 갇히게되죠. 윤회자체도 고통인데 적어도 윤회하면 늘 새로 태어나 희노애락을 고루 경험할 수나 있죠.)​혹 그 둘은 피하고 명이다해 죽는다해도 깨끗이 죽어지지 않고 대부분 처참한 육체적 정신적 병(온갖 잔병은 기본이고 큰 병으로는 대표적으로 파킨슨, 루게릭, 중풍 등 마비종류에 조현병과 같은 다양한 정신병 혹은 진상치매)으로 시달리다 종국에는 살이 썪어들어가는 욕창에 의식도 없지만 고통에 비명을 지르고 보는 가족들까지 처참하고 이루 말할 수 없음입니다.​​​사는 동안에는 가위눌림 악몽 귀접등에 시달리는 것은 우스운정도고 정신적 육체적 고통 (우울증, 불면증, 강박증, 공황장애, 불안증, 조현병, 원인을 딱히 찾지 못하는 오만 증상들 -만성 두통, 만성적 소화불량 체기, 어지럼증, 기억력감퇴, 다양한 통증들 및 3차신경통 등) 귀신의 방해로인한 대인관계 꼬이기(주로 학창시절 왕따,은따를 당하는 사람이 많죠), 잘못된 선택으로 큰 손해를 보거나 인생 꼬고 말아먹기 등으로 되는 것도 없고 사람들과도 제대로 지내기 힘들어 사회생활도 거의 못하거나 하던 것도 놓치게 되죠.​​​귀신이 붙는 이유는 귀신과 엮이는 이유는 과거생 어느 때나 이번 생 어느 때고 점, 사주, 타로, 부적, 굿, 천도재, 퇴마의식 등 미신 무속 역학자들 열심히 미친듯이 쫓아다니며 정성들여 빌었거나 산신기도니 기치료니 영혼치료니 이런 종교인들을 쫓아다니며 귀신을 열심히 경배한 결과죠. 자신이 열심히 따른 것이 귀신인지도 모르고 귀신보고 붙어라 붙어라 기도한건지도 모르고요.​​​귀신이 붙으면 인생 사람으로 사는 것보다 귀신의 부림으로 귀신으로 살게됩니다. 자신의 생각이라 착각하지만 사실 귀신의 생각으로 사는 것이많고 나중엔 정신병원 들어가거나 안들어가도 정상인으로 살 수 없습니다.​각각 가진 귀신의 본격적인 발동시기는 어린 나이부터 중년 나이까지 사람의 업에따라 다르지만, 일단 발동하면 그 비중이 시간이 갈수록 점점 커져 인생은 처참히 말아먹게됩니다.​그런 삶을 이용당하여 아예 귀신에게 자신을 내주고 귀신이 없던 사람에게도 귀신을 붙이는 버러지만도 못한 귀신의 종이되는 것이 바로 신내림받고 무속인이 되는 것입니다.​​​그들을 쫓아다니며 하나를 좋아지게했다면 수천만가지를 뺏기위한 미끼이고 속임수입니다.​​​절대 그런 것들을 찾아다니며 인생 귀신과 더 엮여 인생 처참하게 꼬지마시길요.​​​​​귀신의 문제를 극복할 방법은 세상 하나밖에 없습니다. 돈이들지도 어딜 가지도 않죠.​다른 모든 것들은 돈도 들고(가진 돈을 다 털어먹기 쉽상이죠. 한번 하고 안되면 정성이 부족하다는 둥 다른게 또 왔다는 둥) 당장 좋아지는 것같은 착각을 들게해도 결과적으로는 신기만 더쎄져 인생 더 말아먹을 뿐 입니다.​​​유튜브에서 재가승가원 덕명방송을 찾아 들으시면 왜 미신 무속 역학이니 퇴마니 그런 것들을 멀리해야하는지 제가 왜 그들을 버러지보다 못하다 생각하는지 본인의 인생은 왜 그런지 그리고 귀신으로 인해 꼬인 그리고 앞으로 더 꼬일 인생은 어떻게 스스로 풀어야하는지 배우실 수 있을 것입니다.​​​돈이들거나 어딜가는 것도 아니니 유튜브 참고하셔서 제대로 알고 네이버에서 공왕불수행을 찾아 인생을 구제하세요. 자신의 생명력을 강하게 만들고 생명의 그릇의 크기를 키우는 수행입니다.​​​종교선전이라고 착각하지마세요. 어떠한 단체도 아니며 스스로 혼자하는 것이여 이 것이 아니고는 인생 다가올 불행을 끌어안고 위에 말씀드린 귀신과 엮인 결과를 모두다 겪으며 사는 수 밖에 없습니다. 스스로하는 것 외에 절대 다른 누가 해결해 줄수 없으므로 누가 해결해주겠다는 사람이 있다면 그것은 백퍼센트 사기 혹은 착각으로 사실은 돈과 시간을 다 털어먹고 본인의 신기는 더 쎄져 인생은 더 처참해짐을 알아들으시길요.​참고로 이 수행도 마음자세를 잘못하면 나머지 미신 무속 역학의 온갖 것들과 같이 독이 될 뿐이므로 바른 마음자세를 갖는 것이 아주 중요합니다. 반드시 동영상을 통해 배우시거나 혹 동영상을 하나하나 보기 힘들어 당장 급하게 바른 수행 마음자세를 배우고자한다면 (삶의 바른이치를 배우고 바른 자세를 배우기 위해선 반드시 동영상이나 생명치료쉼터에 남기신 글을 통해 배우셔야합니다) loveorange79로 카톡주시면 제가 더 설명드리겠습니다.​​",https://kin.naver.com/qna/detail.naver?d1id=3&dirId=316&docId=350135909&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=6&search_sort=3&spq=0
구내염관련,제가 한두달전쯤 부터 입술안쪽에 구내염?물집같은게 생겨서 터트렸는데 거의 아물쯤 자꾸 같은곳에생기네요ㅜ그래서 병원내원 할려고하는데 어느쪽 병원을 가야하나요?이비인후과로 가야하나요?,"이비인후과가시면 됩니다.구내염은 면역력과 관련성이 높기때문에 병원의 치료로도 호전되지 않는 경우가 있습니다.많이 주무시고 영양제 챙겨드시는 것이 도움이 많이 됩니다.병원에 가면 소독치료를 진행합니다.​참고로 입안에 나는 수포는 무엇이건, 어디에 나건 절대 터뜨리면 안됩니다.​",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70102&docId=350133720&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=7&search_sort=3&spq=0
오른쪽 목에 압박감이 듭니다,"2018년 여름부터 증상이 갑자기 나타났는데요사진 속 동그라미 표시부분이 불편하고 압박감이 있습니다 고개를 왼쪽으로 돌리면 오른쪽 표시부분이 땡기는 느낌이 들어요 오른쪽으로 하면 압박감이 없어지구요... 밥먹고 말하고 일상생활 하는데 지장은 없지만가만히 있으면 압박감이 느껴지는게 너무너무 불편하고 신경쓰여서 처음엔 이비인후과를 갔는데 아무런 효과가 없었고 좀 더 큰 종합병원 이비인후과에 갔는데후두염이 심하다고 약을 한달간 먹었지만후두랑은 전혀 다르게 아무 효과를 보지 못했습니다정형외과 두군데가서 엑스레이도 찍어보고 초음파도 해봤지만 아무 이상이 없다고 들었고갑상선 전문 병원에가서 갑상선 초음파,혈액검사도 해봤지만염증수치가 조금 높다고만 하시고 갑상선에 문제가 없다고 하셨습니다...ㅜㅜ대체 원인이 뭘까요 이젠 림프종인가 싶어 이번주에 혈액종양내과도 예약해놨습니다 원인을 너무 알고싶고 이젠 어느 병원을 가야 원하는 답을 얻을수있을지 지칩니다 ㅜㅜ 대체 뭐가 문제인걸까요???","목빗근의 위치네요!잘못된 자세, 잘못된 발성이 있으면 거기에 많이들 고통을 호소하는데 혹시 거북목같은 잘못된 자세가 있지 않나요?우선 자세부터 완벽하게 교정을 하고 그 부분을 계~~~속 해서 마사지 해주세요!또한 스트레칭도 해주시고요!",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010101&docId=350133498&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=8&search_sort=3&spq=0
바이러스나 전염병에 관련된 짧은 책 3권 알려주세요(내공 100),짧은기간내에 읽을수있는 바이러스나 전염병에 관련된 책 3권 알려주세요,"안녕하세요? ​​닉네임이 제가 즐겨보는 모 스트리머분이랑 같으시네여 ㅋㅋㅋ​​각설하고, 몇가지 책을 추천드릴께요​링크는 모두 yes24 서점 링크이고 10% 할인 행사중입니다.​https://bitl.kr/EuHEwx              세상을 바꾼 전염병  bitl.kr            역사속의 바이러스와 전염병에 관해 다룬 쉬운 교양서적입니다.​대책도 없이 오랜기간 동안 전염병과 부딪혀야 했던 인류에게 전염병은 다양한 영향을 끼쳤다. 전염병으로 중세가 몰락했으며 유럽인은 아메리카 대륙의 새 주인이 되엇다. 전염병 때문에 병원이 탄생했으며 인류의 일상이 바뀌었다. 예방 백신의 개발과 의학의 발달로 인류는 공포의 대상이었던 전염병을 어느정도 정복한 듯 보이지만 언제라도 새로운 전염병은 인류를 위협할 것이다. 이럴 때 중요한 것은 필요 이상의 공포심이나 자신감이 아니다. 현재의 상황을 제대로 파악하고 대처 방법을 공유하는 것이다. 이 책은 전염병과 싸워온 인류의 역사를 훑어봄으로써, 어느 시대에나 신종 전염병의 창궐은 인간의 탐욕으로부터 기인한다고 경고한다. ​https://bitl.kr/zhcfor              우리가 몰랐던 바이러스 이야기  bitl.kr            ​바이러스에 한정한 교양서입니다. 한국 바이러스 학회 소속 전문가 18인이 지은 책이지만 생각보다 내용이 어렵진 않은 듯 합니다 ​바이러스는 너무 전문적이고 학술적인 내용이지 않을까?’ 하며 어렵게 생각하며 책 펴기를 주저할 수도 있다. 이 책은 국내 바이러스학회의 전문가 18인이 독자들의 눈높이에 맞는 흥미롭고 다양한 주제에 대해 14장에 걸쳐 누구나 쉽게 이해할 수 있도록 설명해준다. 암을 일으키는 바이러스부터 암을 치료하는 바이러스가 있다는 것, 기후 변화에 따른 바이러스의 위협과 바이러스의 크기와 구조의 기초 지식, 영화 속에 나오는 바이러스와 우리나라에서 처음으로 발견한 바이러스 이야기까지… 그동안 우리가 몰랐던 바이러스에 대한 지식의 확장을 경험하게 될 것이다. ​https://bitl.kr/4MmPOb              브리태니커 만화 백과 : 질병과 건강  bitl.kr            만화로 쓰여 아주 쉬운 책입니다. 바이러스와 전염병 뿐 아니라 여러 질병들을 백과사전식으로 쉽게 설명한 책이라 도움이 될 듯 하여 추천드려요",https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80606&docId=350130768&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=9&search_sort=3&spq=0
바이러스나 전염병에 관련된 짧은 책 3권 알려주세요(내공 100),짧은기간내에 읽을수있는 바이러스나 전염병에 관련된 책 3권 알려주세요,"가 요즘 읽은 과학 책 추천 드릴게요!최강석 교수님이 쓴 <바이러스 쇼크>입니다.원래도 과학 책을 좋아하는 편이긴 한데, 이건 코로나19 때문에 읽은 책이거든요?근데 이 책 대박입니다ㅋㅋ 일단 제가 읽은 바이러스 책 중에서는 가장 재미있었어요.설명하는 글 자체가 그리 어렵지 않고(중고생들도 잼나게 읽을 만한?), 진짜 바이러스의 모든 것을 설명해주고 있어요.코로나 때문에 읽었다가 바이러스 전반에 대해 알게 되었습니당 ㅋㅋ 추천드려요.​                  바이러스를 마냥 공포의 대상으로 여기기보다 실체를 정확히 파악해서 빨리 대처할 수 있어야 한다. 세계동물보건기구 전염병 전문가이면서 세계적으로 전염병 연구 활동을 활발히 펼치고 있는 저자는 이 책을 통해 바이러스에 대한 궁금증을 남김없이 해소해준다. 바이러스의 정체와 미생물의 역사, 신종 바이러스의 탄생 계기, 오래전부터 인류와 공생해 온 바이러스의 역사, 그리고 어떻게 인류에게 위협을 가하게 되었는지에 대한 이야기들을 전문적이면서 이해하기 쉽도록 전개한다."
