제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2020.02.17.|2020.02.21.&section=kin&page=1
헤어디자이너 수전증,디자이너를 꿈꾸고있는 사람입니다.남자이구요 평상시에는 수전증이 그렇게 심각한정도는아닌데.. 펌을말거나할때 긴장을하면 유독심하게 떱니다.잘몰랏는데 다들그러더라구요 이정도면 손님 머리 말때 손님한태 다 느껴지겠다면서요.. 수전증 고치기 힘들다고하던데 수전증때문에 길을포기해야할지 너무고민입니다. 현실적으로 답변 부탁드립니다.,아주 자연스러운 단계랍니다.본인이 자신감있는 시기가 오게되면 자연스럽게 불안함은 없어진답니다.수전증은 아니고요.^^그리고 방법 중에 하나는 호흡법으로도 어느정도 진정시킬수 있답니다.단전호흡법이지요 이런 글을 써주는 나는 누구냐고요? 제프로필을 보시면 조언에대하여 감사할듯.그리고 언제한번 전화해보세요.글로 표현하기 힘든 방법 중에도 많으니  제가 도움을 드릴 수 있을듯~​ 제 네이버블로그에 가보면 좋은 내용많답니다.답변채택과 좋아요*유익해요도 눌러주시면 다음질문도 즐겁고 빠르게 답변^^국내최고의 헤어전문가가 운영하는 #헤어살롱케이머리병원*답변내용은 개인적인 차이가있고 주관적인 답변입니다*,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8030207&docId=347877027&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=1&search_sort=3&spq=0
얼굴 비대칭???,저 얼굴이 한 쪽이 더 큰데 이거 왜 그런 거고 어떻게 고쳐요??그리고 저 얼굴 비대칭인가요?? 비대칭 고치는 법도 알려주세요 내공120,일단 모든 사람이 얼굴뿐만 아니라 몸이 좌우로 비대칭이란거 알아주시구요.사진 상으로 크게 차이 안나보입니다.어느쪽이 부었다는건지 잘 모르겠는데 티가 많이나면 잘때 한쪽 방향으로 얼굴이 눌리게 자는건 아닌지 하루종일 한쪽이 부어있고 자주 그런지 비교해보시고서 병원 가보시면 좋을거같네요.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70110&docId=347876215&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=2&search_sort=3&spq=0
"어지러움, 속 안좋음","안녕하세요 고등학교 2학년 여학생입니다.제가 가끔 속이 안좋고 이러다가 갑자기 머리가 아프면서 어지럽고 식은땀이 나다가 너무 어지러워서 앞이 안보이고 손발, 다리가 후들후들 떨립니다 한번도 쓰러진적은 없고요 . 바람 쐬면서 10분정도 있으면 어느정도 괜찮아지긴 하더라고요. 아주 옛날에 중학교 1학년때쯤 한 2번정도 이랬던적이 있었는데 그전에도 그후에도 계속 이러지 않다가 요즘들어 되게 자주 이럽니다 .. 기립성 저혈압? 그거인가요 ㅠㅠ 왜 그런거죠 ? ?",적혀 있는 증상으로 봤을 땐 갑상선 기능 항진증 같아요​저도 비슷한 증상 있었던 적 있어서​갑자기 식은땀 나고 심한 공복감에 주저앉을 정도로 어지럽고 ​더위가 심하고 전 7년 정도 증상이 있었어요 당시엔​심한 증상들이 아니라 병원에서도 그냥 넘겼는데​2015년쯤부터 증상들이 심해져서 다시 병원에 말씀드렸더니​저혈당 증상이라며 내분비내과 보내주셨고​검사 결과 갑상선 기능항진증이라고 하셨어요​아래는 갑상선 기능 항진증에 공통적으로 나타나는 증상들이니​참고하고 내과로 가보셨으면 합니다​            출처 http://100.daum.net/encyclopedia/view/145XXXXXX2070 ​        ​            출처 http://blog.naver.com/PostView.nhn?blogId=hello_health&logNo=221497683640        ​,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70108&docId=347875878&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=3&search_sort=3&spq=0
목감기 가래..,2주전에 몸살기운이 살짝 있다가 목감기로 변질되어서 헛기침이 자꾸나왔었는데 그게 어느순간 가래로 바뀌었어요 병원가보니 열도안나고 다른곳 이상없이 콧물만 좀 나고 목가래문제라 약처방받은거 먹었어요.. 근데 가래가 아직까지 사라지지를않아요.. 기침하다 헛구역질하는것도 너무 지겹고 자다가도 가래때문에 깨요.. 물도 엄청 먹는데 말이죠..마스크끼고다녀도 계속 뭣만하면 가래껴서 기침나오니까 카페에 잠깐 앉아있는것도 괜히 기침때문에 눈치보여요.. 가래 빨리없애는 법 이라던가 다른 이상이 있는건 아닌지 궁금합니다.. 가래가 언제쯤 없어질까요..?,다른병원에 가셔서 정확한 원인을 찾고 약을 처방받는게 가장 효과적인 방법입니다!,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010101&docId=347873856&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=4&search_sort=3&spq=0
목감기 가래..,2주전에 몸살기운이 살짝 있다가 목감기로 변질되어서 헛기침이 자꾸나왔었는데 그게 어느순간 가래로 바뀌었어요 병원가보니 열도안나고 다른곳 이상없이 콧물만 좀 나고 목가래문제라 약처방받은거 먹었어요.. 근데 가래가 아직까지 사라지지를않아요.. 기침하다 헛구역질하는것도 너무 지겹고 자다가도 가래때문에 깨요.. 물도 엄청 먹는데 말이죠..마스크끼고다녀도 계속 뭣만하면 가래껴서 기침나오니까 카페에 잠깐 앉아있는것도 괜히 기침때문에 눈치보여요.. 가래 빨리없애는 법 이라던가 다른 이상이 있는건 아닌지 궁금합니다.. 가래가 언제쯤 없어질까요..?,"가래제거에 도움 주는 흉벽진동기를 사용해 보시기 바랍니다.부작용 없이 어린이도 사용 가능한 1등급 의료기기입니다. 호루라기처럼 생긴 기구 내에 쇠구슬이 들어 있습니다. 숨을 내쉴 때 기도 내 압력을 증가시켜 기도를 열어주고 기도에 발생하는 진동 효과를 이용하여 가래 제거에 도움을 주는 원리입니다.  30년 전 부터 해외에서 널리 알려진 반 영구적 폐운동 기구입니다. 흉벽진동의 효과는 폐청소, 폐활량증대, 복식호흡, 편한호흡, 숙면, 흉통완화, 목잠길 때, 노래 목풀 때, 폐질환 중 천식, COPD 등에효과 있습니다.              가래없애는법 청폐88 가래제거기 : 케이비스토어 케이비스토어 수동식흉벽진동기 청폐88 smartstore.naver.com            ​"
우한 폐렴 발열,뭐 공식적으로는 37.5도 이상이라고 하는데대부분의 환자들 열이 어느정도로 나나요?,거의 38도 이상으로 열이 납니다,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010101&docId=347868991&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=5&search_sort=3&spq=0
우한 폐렴 발열,뭐 공식적으로는 37.5도 이상이라고 하는데대부분의 환자들 열이 어느정도로 나나요?,사람마다 달라서 확정지을수는 없습니다 미열만 있을 수도 있고 사람마다 너무 증상이 다양해서요 근데 평균적으로는 37.5도 이상의 발열이 있을 경우라고 합니다 코로나 증상이 의심되시면 먼저 1339에 전화해보시고 가까운 보건소나 코로나 지정 병원으로 가셔서 진찰 받아보시고 검사하는 것 밖에는 방법이 없을 것 같아요
숨 쉬는 것이 답답해요,평범하게 코로 숨을 쉬는 것에 불편함을 느끼지 않는데 깊고 크게 숨을 쉬려고 하면 불편해요끝까지 숨이 안들어가고 바로 전에 막힌 듯한 느낌이 오면서 왼쪽 가슴과 바로 옆 갈비뼈에 통증이 옵니다그래서 코로만 숨을 쉬려고해도 어느순간 답답해져서 결국 입으로 숨을 크게 쉬게돼요이 증상이 반복되는게 2~3일정도 됐는데 그냥 일시적인건가요?단순 스트레스로 인한 증상일 경우 어떻게 해야하나요?(발열과 기침은 없고 근육이 놀랄만한 운동은 하지 않았습니다),코로나 우한폐렴으로 추정이 되네요.빨리 병원에 가서 진찰을 받으세요.급속도로 병세가 진행되면 돌이킬수없어 사망에 이르게 됩니다.,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111604&docId=347849922&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=21&search_sort=3&spq=0
척추협착증수술비용 후 관리에 대해 알려주세요,물리치료를 받아도 좋아지는게 없어서 수술 생각중인데혹시 척추협착증수술비용 얼마나 할까요???그리고 수술 후 관리는 어떻게 해야지 후유증이나 재발 없이 완치가 될까요???요즘 금전적인 부분에서 좀 힘들다보니 어느정도 가격이 맞으면 수술을 받으려고 생각중인데척추협착증수술비용 아시는분 답변 좀 해주세요,​몇 천만은 깨진다고 생각하셔야 될거에요저도 척추협착증수술비용 알아본적이 있었는데가격이 어마무시하게 비싸서 결국에는 수술을 받지 않았었거든요대신 병원 치료를 받으면서 허리 관리에 대해 알아보게 되었는데수영도 척추협착증에 좋다고 그러더라구요저는 물을 무서워해서 수영은 하지 않았는데허리 근력운동이 좋다고 그래서 헬스장 다니며 관리를 했었어요그리고 여기에 척추협착증에 좋은 음식이랑 약초도 알아보고 챙겨먹기도 했는데남평약식동원에서 파는 진액이 치료에 제일 도움이 되고 좋았어요이걸 먹으면서부터는 허리통증이랑 다리저림이 거의 사라져서아프거나 불편한것 없이 생활할수 있게 되었거든요척추협착증으로 치료중이신분들이 많이 찾는거라고 그러는데진작에 알지 못한게 아쉬울정도로 증상들이 사라졌거든요저는 그래서 앞으로도 계속 먹을 생각인데질문자님도 참고해보시면 좋을것 같아 한번 알아보시라고 답변 남겨요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70308&docId=347849344&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=22&search_sort=3&spq=0
척추협착증수술비용 후 관리에 대해 알려주세요,물리치료를 받아도 좋아지는게 없어서 수술 생각중인데혹시 척추협착증수술비용 얼마나 할까요???그리고 수술 후 관리는 어떻게 해야지 후유증이나 재발 없이 완치가 될까요???요즘 금전적인 부분에서 좀 힘들다보니 어느정도 가격이 맞으면 수술을 받으려고 생각중인데척추협착증수술비용 아시는분 답변 좀 해주세요,"신발만 바꿔도 튼튼 100세!​척추관확장수술인 경우 대학병원 다인실 1주 입원 약 180만원이고, 척추고정수술은 약 200만원, 척추고정유합수술은 본인뼈 이용시​ 약 250만원, 인공뼈 이용시 약 550만원 정도입니다.​척추협착증으로 허리가 굽고 허리통증, 다리저림 등으로 걷기가 힘드시다면, 미국의료보험이 되고 미국의료진들이 신고 미국의사들이 척추협착증 재활치료에 처방하는 미국 전문 RX신발 ㅈㅋ*을 맞춤조정해 신으시면 신는 즉시 허리가 펴지고 걷기가 매우 편하고 더 멀리 걸으실 수 있으며 더 멀리 걸을 수 있으면 척추협착증 치료 8부 능선은 넘은 것입니다.​가능하면 척추협착증 수술까지 가지 않고, 아래 부작용 후유증없는 척추협착증 비수술, 수술 후 재활치료에 좋은 음식, 좋은 신발(운동화), 좋은 RX운동을 참조해 척추협착증 운동, 관리하시면 척추협착증이 더 빨리 생활완치됩니다.​척추협착증과 같은 척추질환 치료순서는, 기우러진 건물이 있다면 먼저 건물을 바로 세운 후 갈라진 벽을 메우고 깨진 창을 교체하는 보수공사를 해야 하는 것처럼, 척추도 기울어진 척추를 바로 세운 후 약.한약, 침.주사 등으로 척추협착증 치료를 해야 진정한 치료가 되나, 지금 병원에서는 척추는 바로 세우지 않은 채, 무조건 약, 침.주사, 시술.수술 등의 척추협착증 치료행위는 기우러진 건물채로 보수공사하는 것과 같이 아무 효과도 없고 오히려 질환을 더 악화시킵니다. 척추를 일상.직장생활, 운동할 때 바로 세워주는 미국 전문 RX신발 ㅈㅋ*을 신는 것이 척추협착증 치료의 첫 걸음이고, 이렇게 하시면 별다른 병원치료없이도 척추협착증이 더 빨리 생활완치됩니다. 이해가 되십니까?​                  골반과 척추는 연결되어 있어 척추협착증 신경증상이 있으면 척추.골반불균형이 심해지고 이로 인해 척추협착증이 더 악화됨으로 척추.골반교정을 받으시면 척추.골반이 균형이 잡혀 척추.골반도 똑 바로 되 척추협착증이 호전될 수 있습니다만,​받아 보시면 아시지만, 도수치료.추나요법으로는 척추, 골반교정이 어려우며 그 이유는 척추, 골반불균형은 누워있을 때 발병하는 것이 아니고 주로 서서, 앉아서, 걸을 때 발병함으로 누워받는 교정은 받을 때뿐이고 다시 불균형 상태로 원위치되고 시간.비용도 많이 든 반면에 미국 전문 RX신발 ㅈㅋ*은 척추.골반교정 상태 등에 맞춤조정해 신고 일상.직장(학교)생활, RX걷기 등을 하시면 별도 시간.비용을 들이지 않고 서서, 걸으면서 교정함으로 교정효과도 영속적이여서 더 빨리 척추.골반이 생활교정되고 척추협착증도 더 빨리 자연치유.생활완치.재발방지됩니다.​일반 헬스.코어운동을 하시면 척추관협착증이 더 악화될 수도 있고 또 아파 하실 수도 없음으로, 미국 전문 RX신발 ㅈㅋ*을 맞춤조정해 신고 척추관협착증 환자용으로 특화된 재활 운동인 RX앞받힘, RX반동, RX만세, RX철봉, RX스쿼트, RX런지, RX앞반스, RX다리원, RX오르막걷기(런닝머신 오르막 RX걷기)를 하시면 됩니다.​얼마 전까지만 해도 척추관이나 추간공(신경공)은 선천적인 요인말고 후천적인 요인에 의해서 한번 좁아지면 다시 원상복귀가 안 되는 것으로 알려져 있었으나, 하버드 의대 등 미국의대 실험결과 아래를 참조해 재활운동치료 등을 하시면 더 활성화된 면역 대식세포가 척추관.추간공내 이물질 등을 잡아 먹어 정리해 척추관.추간공 공간을 넓히고 미국 전문 RX신발 ㅈㅋ* 바른 자세유지 기능으로 척추관.추간공이 원위치 회복이 되 척추관협착증이나 추간공(신경공)협착증이 더 빨리 자연치유.생활완치.재발방지됩니다.        

존재하지 않는 이미지입니다.

                 - 척추관협착증 수술권고 기준​요추4/5를 기준으로 정상 척추관 전-후 지름이 13mm 좌-우 지름이 16mm 수평 절단면 면적이 75-100㎟ 이고 신경공(추간공) 높이가 5mm 이며 정상 기준에서 2/3 이하로 좁아질 경우 수술치료를 검토하는 것이 일반적임으로 척추관, 추간공상태가 어떤지를 정확히 알고 치료방법을 정하셔야 합니다.​척추관협착증 시술류는 부작용, 후유증이 많아 이미 폐기된 치료법이고, 척추관협착증 수술은 또 다른 척추관협착증 시.수술을 부름으로 아예 처음부터 양방이든 한방이든 척추관협착증에 손대지 않는 것이 척추협착증 완치의 첫 걸음이고, 대신, 아래를 참조해 척추관협착증 재활관리하면 척추협착증이 더 빨리 자연치유.생활완치.재방방지됩니다.​                 

존재하지 않는 이미지입니다.

                          <척추관협착증 약.주사.시술.수술.부작용.재발없이 자연치유.생활완치.재발방지 치료법 요약>​척추관협착증에 좋은 음식인 단백질이 많고 면역세포를 만드는 붉은 소고기를 육포.수육, 저염식 장조림 형태로 매일 100g 이상 드시는 것이 좋습니다. 또,​세계적인 척추협착증 재활치료의 명의 중 명의인 미국 전문 RX신발 ㅈㅋ*을 질환, 체중, 직업, 척추, 골반, 다리.걸음교정상태 등에 맞게 맞춤조정해 신으면 척추.골반불균형과 다리.걸음걸이가 일상.직장생활속에서 교정되고, 깁스와 같은 역활을 하는 딱딱한 정형외과 중창이 발을 안정적으로 잘 잡아주고, 몸무게가 반으로 줄여드는 효과와 같은 척추충격을 50% 덜 해주고, 스프링 에너지 리턴(추진력)이 50% 되어 척추관협착증에 무리를 주지 않고 걷기가 매우 편하고 더 멀리 걸을 수 있으며, 에어류 신발에 비해 척추.하체 근육이완.수축(펌핑)운동이 10배 이상 되어 혈액.림프순환을 더 원활하게 하여 혈액.림프속 면역세포와 자가 진통소염제가 척추관협착증 자가치료>자연치유>생활완치 여건을 만들어 주어 척추협착증이 더 빨리 자연치유.생활완치.재발방지됩니다.​미국의료보험이 되고 미국의료진들이 신고 미국의사들이 척추협착증 재활.치료에 처방하는 전문 RX신발 ㅈ**을 맞춤조정해 신고 일상.직장생활하고, 척추협착증재활운동은 척추협착증 환자용으로 특화된 RX앞받힘, RX반동, RX런지, RX철봉, RX스쿼트, RX만세, RX앞반스, RX다리원, 오르막 RX걷기(런닝머신 오르막 RX걷기)를 하시면 일, 걷기도 편하고 척추.하체근육도 강화되고 척추협착증에 무리주지 않고 살도 잘 빠지고(운동 다이어트도 잘 되고) 척추협착증도 더 빨리 자연치유.생활완치.재발방지됩니다.        

존재하지 않는 이미지입니다.

                         

존재하지 않는 이미지입니다.

        (미국 전문 RX신발 ㅈㅋ* 20년 매니어인 영화배우 더스딘 호프만)​용어 설명(미국신발분류기준) : 처방(RX)신발이란?직업, 체중, 질환, 척추측만.자세, 골반상태.다리길이차.무릎.발목각도.걸음걸이, 평발여부, 발 모양에 따라 손쉽게 개인별 맞춤교정하는 전문신발이며(정형외과 맞춤깔창 기본장착), 미국의사들이 발.발목, 다리, 무릎, 고관절, 허리보호.예방, 재활.교정.치료에 처방(RX)하는 신발을 통칭함. 즉, 운동할 때에는 운동화신고 등산할 때는 등산화신는 것과 마찬가지로 질환을 예방하거나 질환이 있어 재활.교정치료할 때에 신는 신발이 처방(RX)신발임.​↓↓ 참고 : 미국의사가 척추관협착증에 처방하는 최신 재활.치료법(RX신발)↓↓ 보기 : 실제 척추관협착증, 수술한 분들 재활.치료후기, 성공담(RX신발)"
