제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2020.02.22.|2020.02.26.&section=kin&page=1
학교에 엘리베이터가 없어요,"저는 고등학생이고 4개월전 학교복도에서 넘어지면서 무릎탈골과 함께 인대가 떨어져나가서 2달동안 깁스를하고 한달넘게 병원에서 재활치료를 받았는데 이제 무릎은 어느정도 잡혔지만 깁스를 너무 오래해서 다리에 근육이 모두 빠진 상태입니다... 걷다가 힘이없으니까 다리가 풀리기도 하고 계단은 정말 못올라가는데 3월9일에 개학을 하면 엘리베이터 없는 학교를 매일 다녀야해요.. (급식실과 실습실은 1층, 교실은 5층) 지금은 병원에서 재활치료가 아닌 집에서 간단한 운동을 해야하는 상황이여서 진단서도 없네요.. 다른 방법이 있을까요? 근데 학교에 엘리베이터가 없는데 말이 되나요ㅠㅠ 몸 불편한 사람은 학교도 못다니나요..","엘리베이터 설치 방법이 있습니다.​먼저 학교 내 학생회에 정식적으로 요청사항을 전달하세요그러면 학생회(전교회장, 전교부회장, 학생회)에서 학생 대표로 학교 측에 엘리베이터 설치를 요구 할 것입니다.​엘리베이터 설치는 보통 교육부에서 예산이 나오므로 충분히 설치가 가능합니다.​학교에 주권은 학생에게 있습니다.요구사항은 당당하게 요구하세요​채택 부탁드리겠습니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70308&docId=348317750&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=1&search_sort=3&spq=0
학교에 엘리베이터가 없어요,"저는 고등학생이고 4개월전 학교복도에서 넘어지면서 무릎탈골과 함께 인대가 떨어져나가서 2달동안 깁스를하고 한달넘게 병원에서 재활치료를 받았는데 이제 무릎은 어느정도 잡혔지만 깁스를 너무 오래해서 다리에 근육이 모두 빠진 상태입니다... 걷다가 힘이없으니까 다리가 풀리기도 하고 계단은 정말 못올라가는데 3월9일에 개학을 하면 엘리베이터 없는 학교를 매일 다녀야해요.. (급식실과 실습실은 1층, 교실은 5층) 지금은 병원에서 재활치료가 아닌 집에서 간단한 운동을 해야하는 상황이여서 진단서도 없네요.. 다른 방법이 있을까요? 근데 학교에 엘리베이터가 없는데 말이 되나요ㅠㅠ 몸 불편한 사람은 학교도 못다니나요..",조금씩운동을 하시고 학교측에 말을 하여상의를 해보시는게 좋습니다
허리디스크 걱정되는데 구리척추 비수술로 치료 잘하는 병원 질문드립니다,허리가 많이 안좋았던 건 아니었는데 근래에 길에서 한 번 넘어진 이후로허리랑 골반이 계속 불편해서 급한 맘에 근처 병원을 잠깐 갔습니다.허리디스크라더군요.. 좀 이해가 안가긴 했지만 그정도로 아프진 않았다고 생각이 들어서제대로 검사를 받고 이왕이면 척추 치료 잘하는 곳에서 확인하고 치료받고 싶습니다.만약 디스크까진 아니더라도 치료 받을때 여러번 헛걸음 하지 않고한번에 제대로 치료하고 싶은데요. 구리쪽에 척추 관리 잘하는 병원 있을까요?,"저는 디스크 까진 아닌데요~ 척추측만이 한 10년 정도 전부터 계속 있어서이곳저곳 병원 되게 많이 가봤는데요~또 병원을 많이 가다보니 볼 수 있는 부분들이 있으니까좀 까다로워 진다고 해야하나? 그런게 생겼어요~그럼에도 불구하고 요새 척추 관리는 한군데서 꾸준히 받고 있는 병원이 있어서 도움이 될까하고 답변 남겨요~저도 친구 추천으로 갔었던 곳인데요~구리역 앞에 화인통증의학과인데, 제가 정형외과만가봤지 통증의학과 가볼 생각은 전혀 못해서 이번에 가보니까뭐랄까 제 몸을 좀 일대일로 맞춤 관리받고 있다는 느낌이랄까그런게 있었어요~ 불편한 것도 많이 나아졌고 원래 죽을만큼은 아닌데 불편한게 어느정도 있어서 항상피곤하고 그랬는데 전반적으로 지치는게 조금 줄었어요~치료는 도수치료랑 물리치료 받았는데요 앞으로경과 관찰 하면서 전 다른 치료도 진행할 수도 있을 것 같아요~하지만 척추 정렬의 문제라면 조금 비슷한 부분도 있을까 싶어서 말씀드려요~여튼 관리를 잘해줘서 꾸준히 다니기에는 확실히 좋은 것 같아서살짝 추천드리고 갑니다~",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70106&docId=348317531&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=2&search_sort=3&spq=0
신경치료 후 뿌리사이에 고름,신경치료한 치아가 며칠동안 건들일때마다 아파서 치과를갔는데신경치료한 치아 뿌리사이에 고름이 생겼다고 마취 후 고름을 제거했습니다.의사선생님이 이건 치료방법이 따로없다고 치간치실을 써서 잇몸 안으로 넣어서 하루에한번씩 고름을 없애라는 얘기를하던데치간치실을 잇몸안에 뿌리쪽으로 넣어도 되는걸까요? 넣어서 고름을 뺄수있는건가요? 위생적으로 나쁜건아닐까요..아니면 다른병원을 가보는게 나을까요,"현재 고름이 있는데, 한 번 고름을 빼주고 이후에는 환자가 치간칫솔을 이용해 고름을 빼라고 하는 치과의사는 좀 아닌 거 같습니다. 다른 병원을 가보세요.​신경치료가 잘 되었는데 잇몸염증에 의해 고름이 있는 것인지신경치료에 문제가 있어 고름이 생긴 것인지에 따라 이후 치료방법이 달라집니다. 단순 잇몸염증에 의한 고름이라면 잇몸치료를 하여 염증을 없애야겠지요여러차례 제대로 잇몸치료를 하면 염증은 많이 줄어듭니다. 물론 뿌리사이 잇몸염증은 이미 잇몸뼈가 어느정도 녹아있다면완전히 염증을 없애기는 어렵기도 합니다. 가끔 염증이 심해질 수도 있는데 정기적으로 치료하시면 많이 심해지지는 않습니다. 또 신경치료에 문제가 있어 고름이 생겼다면 문제가 복잡합니다. 재신경치료로 가능할 수도 있지만, 발치해야 할 수도 있지요​https://blog.naver.com/primeden/221770496544              지성이면 감천(신경치료후 크라운)...- 프라임 치과 - 20대 환자의 아주아주 심한 치근단염증 상태의 치아....통증이 생긴 지는 얼마 안되었다는데 이미 치아는 ... blog.naver.com            ​",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70204&docId=348316391&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=3&search_sort=3&spq=0
항문에 이상한게낫어요 이거아시는분,항문에 어느순간이게낮는데 먼지 모르겠어요만지면 아프기도하고 커지기도작아지기도합니다일때문에 병원을못가봣는데 혹시아는분잇나요내공100걸어요,1)항문 밖의 치핵 조직이 부풀어올라 덩어리처럼 만져지는경우일수도 있구요2)항문샘에서 염증이 생기면 항문 주변에 항문주위 농양이 생겼을수도 있습니다-고름이 차서 생긴것일수 있다는것이죠항문질환은 의사샘을 통해 정확히 확인하는게 좋겠습니다좀 가기가 싫긴하지만요~,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=348315951&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=4&search_sort=3&spq=0
배변활동 못해서,"동생이 2주동안 배변활동을 못하고 있어요 마렵지는 않다고 하는데 배는 슬슬 아프대요 유산균이나 액티비아? 같은 요거트도 소용없구요 병원에 데려가고 싶어도 요즘 시국이 시국인지라 망설여집니다 동네병원은 괜찮을까요,,,,,?",동생이 몇 살인지 모르겠지만 어느정도 나이가 있다면 동생이 남자이면 요도결석이 의심됩니다.비뇨기과 가보세요.여자이면 산부인과 가보세요.​,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80102&docId=348314700&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=5&search_sort=3&spq=0
배변활동 못해서,"동생이 2주동안 배변활동을 못하고 있어요 마렵지는 않다고 하는데 배는 슬슬 아프대요 유산균이나 액티비아? 같은 요거트도 소용없구요 병원에 데려가고 싶어도 요즘 시국이 시국인지라 망설여집니다 동네병원은 괜찮을까요,,,,,?","아프면 병원은 가야하니까요~마스크 꼭 하시고, 진료 보실 때에도 마스크 끼고 계세요~그리고 병원 다녀오셔서는 손 깨끗히 씻으시고, 옷은 탈탈 털어서 걸어주세요~"
배변활동 못해서,"동생이 2주동안 배변활동을 못하고 있어요 마렵지는 않다고 하는데 배는 슬슬 아프대요 유산균이나 액티비아? 같은 요거트도 소용없구요 병원에 데려가고 싶어도 요즘 시국이 시국인지라 망설여집니다 동네병원은 괜찮을까요,,,,,?",물론 병원가보는게 더 좋겠지만 그래도 좀 꺼림칙하시다면약국에서 변비약 사서 복용해보시는건 어떨까요? 저도 병원은 좀 기피하는편이라 그렇게 약으로 나았거든요
게보린 과다복용하면 대부분 위세척해야한다고 하고 병원에서 상담받고 약 먹으면 낫는다잖아요 그런데 병원 안 가고 근성으로? 나으려면 어느정도 걸릴까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",네  적게 1년 정도 잡어셔야 합니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70401&docId=348314058&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=6&search_sort=3&spq=0
게보린 과다복용하면 대부분 위세척해야한다고 하고 병원에서 상담받고 약 먹으면 낫는다잖아요 그런데 병원 안 가고 근성으로? 나으려면 어느정도 걸릴까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",님 몸 상태에 따라서 다른데 건강하면 내일모레면 나을 수 있고뭐 안 그렇다면 적어도 1달은 봐야겠쥬.건강해도 많이먹으면 전나 아프니까다짐하고 드시옵서서.((10개 기준
